,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
32,155.245.28.2,100,133,TRUE,2018/4/25 03:07,R_22ynqPHVpnQqpNk,,,,,51.90859985,0.920898438,anonymous,EN,26.794,26.794,28.256,1,Minister 1,12.727,12.727,13.516,1,Minister 1,PM's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,No Scandal,Sexual Harassment,Female,Oppose EU Integration,Oppose EU Integration,Conservative Party,Liberal Democrats,PM's Scandal,Sexual Harassment,Scandal,Plagiarism,Gender,Male,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Sexual Harassment,Sexual Harassment,Male,Neutral,Neutral,Conservative Party,Conservative Party
33,155.245.28.8,100,89,TRUE,2018/4/25 03:08,R_2EspfefxU5aj98u,,,,,51.90859985,0.920898438,anonymous,EN,5.892,5.892,11.493,1,Minister 1,5.12,5.12,6.928,1,Minister 2,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,Conservative Party,Oppose EU Integration,Oppose EU Integration,Having an Extramarital Affair,Sexual Harassment,Conservative Party,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Female,Conservative Party,Oppose EU Integration,Support EU Integration,No Scandal,No Scandal,Conservative Party,Male
34,155.245.28.2,100,105,TRUE,2018/4/25 04:04,R_5nKZv3bHv0jF6FP,,,,,51.90859985,0.920898438,anonymous,EN,10.462,11.444,11.967,2,Minister 1,20.583,20.583,24.158,1,Minister 1,EU Integration,Support EU Integration,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Oppose EU Integration,Male,Support EU Integration,Liberal Democrats,Misreporting Funds,Sexual Harassment,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Neutral,Male,Neutral,Liberal Democrats,Misreporting Funds,Plagiarism,Conservative Party
35,155.245.28.4,100,77,TRUE,2018/4/25 04:11,R_2Yn5qlZFInSLuex,,,,,51.90859985,0.920898438,anonymous,EN,12.098,12.098,13.552,1,Minister 2,6.717,7.966,8.338,2,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Gender,Male,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Conservative Party,Oppose EU Integration,Conservative Party,Sexual Harassment,Male,Having an Extramarital Affair,Oppose EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,Gender,Male,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Conservative Party,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Male,No Scandal,Oppose EU Integration
36,155.245.28.8,100,207,TRUE,2018/4/25 04:19,R_PvPOliJ9o2io4vL,,,,,51.90859985,0.920898438,anonymous,EN,4.502,13.725,16.502,3,Minister 1,6.913,6.913,8.366,1,Minister 1,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Gender,Male,PM's Scandal,Having an Extramarital Affair,Sexual Harassment,Oppose EU Integration,Conservative Party,Conservative Party,Oppose EU Integration,Male,No Scandal,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Gender,Male,PM's Scandal,Misreporting Funds,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Conservative Party,Oppose EU Integration,Female,Having an Extramarital Affair
37,155.245.28.9,100,85,TRUE,2018/4/25 04:38,R_2wQVyeg8STMa6UG,,,,,51.90859985,0.920898438,anonymous,EN,16.503,16.503,18.605,1,Minister 1,8.142,8.142,10.458,1,Minister 1,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Liberal Democrats,Sexual Harassment,Neutral,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Female,Labour Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Liberal Democrats,Misreporting Funds,Neutral,Misreporting Funds,Neutral,Conservative Party,Female,Liberal Democrats
38,155.245.28.10,100,97,TRUE,2018/4/25 04:39,R_2BzdhCzCxudH41e,,,,,51.90859985,0.920898438,anonymous,EN,25.273,25.273,26.227,1,Minister 2,9.832,9.832,10.993,1,Minister 1,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,Male,Conservative Party,Conservative Party,Plagiarism,Support EU Integration,Neutral,Sexual Harassment,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,Male,Conservative Party,Liberal Democrats,Plagiarism,Oppose EU Integration,Neutral,Sexual Harassment
39,155.245.28.8,100,103,TRUE,2018/4/25 04:40,R_O0y0AeQrvZoO6fn,,,,,51.90859985,0.920898438,anonymous,EN,16.996,16.996,18.206,1,Minister 1,31.562,31.562,32.526,1,Minister 1,Gender,Male,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Male,Having an Extramarital Affair,Liberal Democrats,Support EU Integration,Having an Extramarital Affair,Support EU Integration,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Female,Plagiarism,Conservative Party,Neutral,Plagiarism,Support EU Integration,Conservative Party
40,155.245.28.4,100,80,TRUE,2018/4/25 05:03,R_1i7ZouvY5sc09wW,,,,,51.90859985,0.920898438,anonymous,EN,7.206,7.206,8.211,1,Minister 2,3.545,3.545,7.605,1,Minister 2,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Support EU Integration,Male,Plagiarism,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Gender,Female,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Conservative Party,Plagiarism,Neutral,Neutral,Female,No Scandal,Liberal Democrats
41,155.245.28.2,100,92,TRUE,2018/4/25 05:05,R_1i2SRTwPBeG1j5N,,,,,51.90859985,0.920898438,anonymous,EN,9.304,9.304,11.266,1,Minister 2,10.711,10.711,12.273,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Gender,Female,PM's Scandal,Plagiarism,Neutral,Conservative Party,Liberal Democrats,Neutral,Having an Extramarital Affair,Female,No Scandal,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,PM's Scandal,Misreporting Funds,Support EU Integration,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Female,Having an Extramarital Affair
42,155.245.28.11,100,75,TRUE,2018/4/25 05:38,R_2e2oKKvWsJBh096,,,,,51.90859985,0.920898438,anonymous,EN,9.517,9.517,10.788,1,Minister 2,5.961,5.961,8.201,1,Minister 2,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Male,Support EU Integration,Neutral,Labour Party,Misreporting Funds,Labour Party,No Scandal,Female,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Gender,Male,Support EU Integration,Oppose EU Integration,Conservative Party,Plagiarism,Liberal Democrats,Plagiarism,Female
43,155.245.28.8,100,76,TRUE,2018/4/25 05:40,R_WvoSMgmFE40hTJD,,,,,51.90859985,0.920898438,anonymous,EN,16.185,16.185,17.514,1,Minister 2,13.112,13.112,14.312,1,Minister 2,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Plagiarism,Support EU Integration,Female,Support EU Integration,Liberal Democrats,Misreporting Funds,Conservative Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,PM's Partisanship,Conservative Party,Misreporting Funds,Neutral,Male,Support EU Integration,Conservative Party,Sexual Harassment,Conservative Party
44,155.245.28.4,100,107,TRUE,2018/4/25 05:40,R_2zqKwPhf0iUk98w,,,,,51.90859985,0.920898438,anonymous,EN,19.545,19.545,20.65,1,Minister 1,23.389,23.389,24.625,1,Minister 2,Scandal,Plagiarism,Gender,Female,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Misreporting Funds,Male,Liberal Democrats,Conservative Party,Support EU Integration,Support EU Integration,Sexual Harassment,Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Misreporting Funds,Male,Liberal Democrats,Conservative Party,Neutral,Neutral,No Scandal
45,155.245.28.10,100,84,TRUE,2018/4/25 05:40,R_2aDYIumOqZnADXR,,,,,51.90859985,0.920898438,anonymous,EN,12.826,12.826,13.893,1,Minister 1,23.023,23.023,24.084,1,Minister 1,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,No Scandal,Support EU Integration,Male,Oppose EU Integration,Liberal Democrats,Having an Extramarital Affair,Conservative Party,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Gender,Female,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Female,Neutral,Liberal Democrats,Misreporting Funds,Conservative Party
46,155.245.28.9,100,109,TRUE,2018/4/25 05:43,R_3Pb5nt7a5OV4Cg9,,,,,51.90859985,0.920898438,anonymous,EN,12.392,12.392,16.564,1,Minister 2,8.601,8.601,9.574,1,Minister 2,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Conservative Party,No Scandal,Having an Extramarital Affair,Support EU Integration,Conservative Party,Support EU Integration,Female,PM's Partisanship,Conservative Party,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Conservative Party,No Scandal,No Scandal,Neutral,Liberal Democrats,Neutral,Male
47,155.245.28.4,100,66,TRUE,2018/4/25 06:03,R_ywrqbuK9k13Vy0h,,,,,51.90859985,0.920898438,anonymous,EN,2.36,2.36,4.021,1,Minister 1,5.46,5.46,6.847,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,PM's Scandal,No Scandal,Labour Party,Oppose EU Integration,Female,Labour Party,Plagiarism,Neutral,Sexual Harassment,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Scandal,No Scandal,Conservative Party,Oppose EU Integration,Female,Liberal Democrats,Having an Extramarital Affair,Support EU Integration,Plagiarism
48,155.245.28.10,100,82,TRUE,2018/4/25 06:04,R_2y8zOFmiOyZKWj0,,,,,51.90859985,0.920898438,anonymous,EN,8.239,8.239,10.272,1,Minister 2,2.513,2.513,3.749,1,Minister 2,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Misreporting Funds,Male,Support EU Integration,Oppose EU Integration,Sexual Harassment,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Female,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,PM's Scandal,Misreporting Funds,Conservative Party,Conservative Party,Misreporting Funds,Male,Support EU Integration,Oppose EU Integration,No Scandal
49,155.245.28.8,100,78,TRUE,2018/4/25 06:06,R_3qebj70diT4ltl9,,,,,51.90859985,0.920898438,anonymous,EN,20.726,20.726,21.617,1,Minister 1,6.488,6.488,7.424,1,Minister 1,PM's Position in EU Integration,Support EU Integration,Gender,Female,PM's Scandal,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,Neutral,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,Conservative Party,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Scandal,No Scandal,Support EU Integration,Female,Misreporting Funds,Support EU Integration,Labour Party,Labour Party,Plagiarism
50,155.245.28.9,100,79,TRUE,2018/4/25 06:06,R_1d4Q4psYjDMPoTf,,,,,51.90859985,0.920898438,anonymous,EN,8.884,8.884,10.252,1,Minister 2,14.673,14.673,15.642,1,Minister 2,PM's Scandal,Misreporting Funds,Gender,Male,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,No Scandal,Male,Neutral,Labour Party,Sexual Harassment,Oppose EU Integration,Labour Party,PM's Scandal,Plagiarism,Gender,Female,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Plagiarism,Female,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Support EU Integration,Conservative Party
51,155.245.28.9,100,101,TRUE,2018/4/25 06:39,R_2a8geOSUmL9tYlj,,,,,51.90859985,0.920898438,anonymous,EN,11.46,11.46,13.564,1,Minister 1,5.502,5.502,7.659,1,Minister 1,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Liberal Democrats,Conservative Party,Male,No Scandal,Neutral,Support EU Integration,Plagiarism,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Gender,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Liberal Democrats,Conservative Party,Male,Plagiarism,Support EU Integration,Oppose EU Integration,Sexual Harassment
52,155.245.28.2,100,113,TRUE,2018/4/25 06:41,R_2P1GPrB9b3hy1KH,,,,,51.90859985,0.920898438,anonymous,EN,31.197,31.197,32.197,1,Minister 2,17.859,18.521,19.1,2,Minister 1,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Female,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Oppose EU Integration,Misreporting Funds,No Scandal,Labour Party,Female,Support EU Integration,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,PM's Partisanship,Conservative Party,Neutral,Sexual Harassment,No Scandal,Liberal Democrats,Female,Oppose EU Integration,Conservative Party
53,155.245.28.4,100,113,TRUE,2018/4/25 06:45,R_3fknf4fULF8dd8t,,,,,51.90859985,0.920898438,anonymous,EN,12.579,12.579,13.855,1,Minister 1,16.298,16.298,17.725,1,Minister 1,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Support EU Integration,Support EU Integration,Labour Party,Labour Party,Female,Misreporting Funds,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,No Scandal,Scandal,Sexual Harassment,Support EU Integration,Neutral,Conservative Party,Conservative Party,Female,Plagiarism,Misreporting Funds
54,155.245.28.2,100,104,TRUE,2018/4/26 03:39,R_1DSSoSVGvqITicQ,,,,,51.90859985,0.920898438,anonymous,EN,9.569,9.569,10.619,1,Minister 1,11.461,11.461,12.457,1,Minister 1,Scandal,No Scandal,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Gender,Male,Sexual Harassment,Misreporting Funds,Conservative Party,Liberal Democrats,Oppose EU Integration,Neutral,Male,Scandal,No Scandal,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Gender,Male,No Scandal,Misreporting Funds,Labour Party,Labour Party,Oppose EU Integration,Support EU Integration,Female
55,155.245.28.2,100,69,TRUE,2018/4/26 04:37,R_2VptWEoiw4LOJoB,,,,,51.90859985,0.920898438,anonymous,EN,14.472,14.472,15.783,1,Minister 2,7.977,7.977,9.165,1,Minister 2,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Sexual Harassment,Neutral,No Scandal,Conservative Party,Female,Liberal Democrats,Support EU Integration,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Scandal,No Scandal,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Sexual Harassment,Neutral,No Scandal,Labour Party,Male,Labour Party,Neutral
56,155.245.28.2,100,72,TRUE,2018/4/26 05:05,R_1r6x7EzZChOfi9M,,,,,51.90859985,0.920898438,anonymous,EN,3.405,4.692,5.524,2,Minister 1,1.214,1.214,2.288,1,Minister 1,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Gender,Female,PM's Scandal,Misreporting Funds,Support EU Integration,Conservative Party,Conservative Party,Sexual Harassment,Neutral,Male,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Gender,Female,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Liberal Democrats,Conservative Party,No Scandal,Neutral,Male,No Scandal
57,155.245.28.9,100,86,TRUE,2018/4/26 05:07,R_2S8HDtAeb1cZTbf,,,,,51.90859985,0.920898438,anonymous,EN,3.068,3.068,7.154,1,Minister 1,0.603,1.627,2.565,2,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Female,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Female,Sexual Harassment,Labour Party,Support EU Integration,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Male,Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Male,Sexual Harassment,Conservative Party,Oppose EU Integration,Conservative Party
58,155.245.28.4,100,66,TRUE,2018/4/26 05:08,R_2AXyQyYPFB6iJj1,,,,,51.90859985,0.920898438,anonymous,EN,1.155,1.155,2.102,1,Minister 2,1.458,1.458,3.253,1,Minister 2,Gender,Male,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Male,Support EU Integration,Having an Extramarital Affair,Conservative Party,Conservative Party,No Scandal,Oppose EU Integration,Gender,Female,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Male,Support EU Integration,Plagiarism,Labour Party,Labour Party,No Scandal,Oppose EU Integration
59,155.245.28.8,100,79,TRUE,2018/4/26 05:09,R_ZgcUMbcGWVheGUF,,,,,51.90859985,0.920898438,anonymous,EN,8.495,8.495,9.59,1,Minister 2,12.543,12.543,13.475,1,Minister 2,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Gender,Female,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Conservative Party,Liberal Democrats,Support EU Integration,No Scandal,Male,Plagiarism,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Female,Plagiarism,Support EU Integration
60,155.245.28.2,100,182,TRUE,2018/4/26 05:44,R_9XicbabdJoR7mhj,,,,,51.90859985,0.920898438,anonymous,EN,29.281,29.281,32.342,1,Minister 2,27.065,27.065,29.711,1,Minister 1,Gender,Male,Party Affiliation,Labour Party,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Scandal,No Scandal,Male,Liberal Democrats,Neutral,Neutral,Having an Extramarital Affair,Conservative Party,Plagiarism,Gender,Female,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Scandal,Plagiarism,Male,Liberal Democrats,Support EU Integration,Oppose EU Integration,No Scandal,Conservative Party,Having an Extramarital Affair
61,155.245.28.4,100,153,TRUE,2018/4/26 05:48,R_TdW7MntPqRr3y3D,,,,,51.90859985,0.920898438,anonymous,EN,6.883,6.883,7.949,1,Minister 2,11.306,11.306,11.897,1,Minister 2,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Labour Party,Support EU Integration,Misreporting Funds,Female,Labour Party,Misreporting Funds,Oppose EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Gender,Female,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,EU Integration,Neutral,Conservative Party,Neutral,Plagiarism,Male,Conservative Party,No Scandal,Neutral
62,155.245.28.8,100,75,TRUE,2018/4/26 06:05,R_2UfTwIvBFFKwjkU,,,,,51.90859985,0.920898438,anonymous,EN,8.661,8.661,9.971,1,Minister 1,14.144,14.144,15.436,1,Minister 1,PM's Scandal,No Scandal,Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Female,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Sexual Harassment,Labour Party,Labour Party,Oppose EU Integration,Male,Oppose EU Integration,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,EU Integration,Oppose EU Integration,Having an Extramarital Affair,Having an Extramarital Affair,Liberal Democrats,Conservative Party,Oppose EU Integration,Female,Neutral
63,155.245.28.4,100,110,TRUE,2018/4/26 06:08,R_893FTiYlQjkpYIN,,,,,51.90859985,0.920898438,anonymous,EN,26.351,26.351,27.156,1,Minister 2,10.725,10.725,12.032,1,Minister 2,EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Gender,Male,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Male,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Neutral,Having an Extramarital Affair,Labour Party,Female,Labour Party,Neutral,Plagiarism
