,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
31,155.245.28.4,100,30,TRUE,2018/4/25 03:03,R_3M5bLpTlUSDxDF5,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.475,0,9.158,9.158,10.537,1,Minister 2,11.218,11.218,13.39,1,Minister 2,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Gender,Male,Scandal,Sexual Harassment,Labour Party,Support EU Integration,Support EU Integration,Labour Party,Sexual Harassment,Male,Misreporting Funds,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Gender,Female,Scandal,Misreporting Funds,Conservative Party,Support EU Integration,Neutral,Conservative Party,Misreporting Funds,Female,Misreporting Funds
32,155.245.28.2,100,40,TRUE,2018/4/25 03:05,R_3kn1d0QAuZcAGWJ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.904,0,6.801,8.067,10.485,2,Minister 1,18.541,19.44,20.016,2,Minister 2,Gender,Female,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,No Scandal,Female,Misreporting Funds,Support EU Integration,Support EU Integration,Conservative Party,Liberal Democrats,Sexual Harassment,Gender,Female,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Male,Having an Extramarital Affair,Neutral,Support EU Integration,Conservative Party,Conservative Party,No Scandal
33,155.245.28.8,100,50,TRUE,2018/4/25 03:06,R_2ea4OoJg8bD035a,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.472,0,5.837,5.837,8.197,1,Minister 2,17.976,19.096,19.704,2,Minister 1,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,PM's Scandal,No Scandal,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Plagiarism,Male,Conservative Party,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,No Scandal,PM's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Neutral,Conservative Party,No Scandal,Sexual Harassment,Female,Liberal Democrats,Neutral
34,155.245.28.2,100,41,TRUE,2018/4/25 04:01,R_1n9BMVrrpuTq4S3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.214,0,14.656,14.656,15.707,1,Minister 2,22.524,22.524,23.345,1,Minister 2,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Female,Conservative Party,Plagiarism,Plagiarism,Conservative Party,Oppose EU Integration,Neutral,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Male,Conservative Party,Having an Extramarital Affair,Having an Extramarital Affair,Liberal Democrats,Oppose EU Integration,Oppose EU Integration
35,155.245.28.4,100,62,TRUE,2018/4/25 04:09,R_23avqW2pKuyKiKp,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.658,0,20.351,20.351,22.693,1,Minister 1,9,9,18.845,1,Minister 2,EU Integration,Neutral,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Neutral,Oppose EU Integration,Misreporting Funds,Conservative Party,Liberal Democrats,Misreporting Funds,Female,Neutral,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,Gender,Male,PM's Position in EU Integration,Support EU Integration,Neutral,Sexual Harassment,Labour Party,Labour Party,Having an Extramarital Affair,Male,Neutral
36,155.245.28.8,100,59,TRUE,2018/4/25 04:15,R_oYQiRw33sBG4gw1,,,,,51.90859985,0.920898438,anonymous,EN,0,0,31.673,0,19.764,19.764,20.983,1,Minister 1,5.858,6.898,8.062,2,Minister 1,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Neutral,Female,Labour Party,Labour Party,Misreporting Funds,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,No Scandal,Oppose EU Integration,Male,Conservative Party,Conservative Party,Misreporting Funds,Support EU Integration
37,155.245.28.9,100,48,TRUE,2018/4/25 04:36,R_1LB8fbgo5ZFl7vK,,,,,51.90859985,0.920898438,anonymous,EN,0,0,22.928,0,9.492,9.492,12.674,1,Minister 1,12.312,12.312,13.529,1,Minister 2,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,Plagiarism,Conservative Party,Sexual Harassment,Neutral,Neutral,Male,Liberal Democrats,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Sexual Harassment,Conservative Party,No Scandal,Support EU Integration,Neutral,Male,Conservative Party
38,155.245.28.10,100,70,TRUE,2018/4/25 04:36,R_3jXQHnRWh9pKTCh,,,,,51.90859985,0.920898438,anonymous,EN,0,0,36.363,0,25.54,25.54,27.121,1,Minister 2,8.49,8.49,9.558,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Neutral,Plagiarism,No Scandal,Liberal Democrats,Oppose EU Integration,Female,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,Oppose EU Integration,Sexual Harassment,No Scandal,Labour Party,Support EU Integration,Female,Labour Party
39,155.245.28.8,100,69,TRUE,2018/4/25 04:37,R_eG9Nbnoo1l3KCe5,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.051,0,36.105,36.105,37.193,1,Minister 1,26.146,26.146,27.172,1,Minister 1,Gender,Male,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Female,Sexual Harassment,Conservative Party,Plagiarism,Support EU Integration,Support EU Integration,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Male,Sexual Harassment,Conservative Party,Sexual Harassment,Support EU Integration,Neutral,Conservative Party
40,155.245.28.4,100,40,TRUE,2018/4/25 05:01,R_8i6cuzZ41caOPfz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.783,0,21.755,21.755,23.136,1,Minister 2,11.052,11.052,12.452,1,Minister 1,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Neutral,Oppose EU Integration,No Scandal,Male,Liberal Democrats,Plagiarism,Conservative Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Support EU Integration,Oppose EU Integration,Having an Extramarital Affair,Female,Liberal Democrats,No Scandal,Conservative Party
41,155.245.28.2,100,27,TRUE,2018/4/25 05:03,R_2PqjlTVB5YGOuUt,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.384,0,7.516,7.516,9.026,1,Minister 2,2.384,2.384,3.758,1,Minister 1,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Labour Party,Male,Support EU Integration,Misreporting Funds,Labour Party,Misreporting Funds,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Liberal Democrats,Male,Oppose EU Integration,No Scandal,Conservative Party,Plagiarism,Support EU Integration
42,155.245.28.11,100,74,TRUE,2018/4/25 05:37,R_28H5zGkZ22I5WBd,,,,,51.90859985,0.920898438,anonymous,EN,0,0,46.071,0,11.217,11.217,17.538,1,Minister 2,10.497,10.497,11.877,1,Minister 2,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,Support EU Integration,Support EU Integration,Misreporting Funds,Misreporting Funds,Conservative Party,Female,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Neutral,Neutral,No Scandal,No Scandal,Labour Party,Male,Labour Party
43,155.245.28.4,100,76,TRUE,2018/4/25 05:37,R_3JIzWKxEo7NcmMV,,,,,51.90859985,0.920898438,anonymous,EN,0,0,51.425,0,8.579,8.579,17.183,1,Minister 1,9.701,9.701,10.737,1,Minister 2,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Male,Conservative Party,Neutral,Plagiarism,Liberal Democrats,No Scandal,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Female,Conservative Party,Neutral,No Scandal,Conservative Party,Plagiarism,Support EU Integration
44,155.245.28.8,100,46,TRUE,2018/4/25 05:37,R_2dv99SZEW1p07hO,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.522,0,26.603,26.603,28.382,1,Minister 1,11.04,11.04,12.191,1,Minister 1,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Scandal,No Scandal,Female,Conservative Party,Sexual Harassment,Oppose EU Integration,Liberal Democrats,Neutral,Sexual Harassment,Gender,Male,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Female,Conservative Party,Plagiarism,Oppose EU Integration,Liberal Democrats,Neutral,Misreporting Funds
45,155.245.28.10,100,62,TRUE,2018/4/25 05:38,R_RxWGcaHdfj7R6j7,,,,,51.90859985,0.920898438,anonymous,EN,0,0,23.71,0,27.435,27.435,28.671,1,Minister 2,11.239,11.239,12.169,1,Minister 1,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Male,Neutral,Misreporting Funds,Support EU Integration,Misreporting Funds,Conservative Party,Conservative Party,Male,EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Female,Neutral,Sexual Harassment,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Conservative Party,Female
46,155.245.28.9,100,111,TRUE,2018/4/25 05:41,R_32Jux7BDO4WwPGz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,62.852,0,22.835,22.835,24.041,1,Minister 1,26.875,26.875,28.422,1,Minister 1,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,Conservative Party,Support EU Integration,Misreporting Funds,Liberal Democrats,Sexual Harassment,Female,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Neutral,Labour Party,Support EU Integration,Misreporting Funds,Labour Party,Plagiarism,Male,Oppose EU Integration
47,155.245.28.4,100,18,TRUE,2018/4/25 06:01,R_3IbFX5Dk5myog5T,,,,,51.90859985,0.920898438,anonymous,EN,0,0,1.421,0,5.973,5.973,7.2,1,Minister 2,7.588,7.588,8.424,1,Minister 2,EU Integration,Oppose EU Integration,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,Neutral,Female,Conservative Party,Oppose EU Integration,Liberal Democrats,Misreporting Funds,Plagiarism,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,Oppose EU Integration,Female,Labour Party,Oppose EU Integration,Labour Party,Plagiarism,Misreporting Funds
48,155.245.28.10,100,60,TRUE,2018/4/25 06:02,R_3pmMm5GUzaGTP4v,,,,,51.90859985,0.920898438,anonymous,EN,0,0,38.808,0,15.473,15.473,17.37,1,Minister 1,4.602,4.602,6.643,1,Minister 2,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Oppose EU Integration,Support EU Integration,Misreporting Funds,Labour Party,Sexual Harassment,Labour Party,Male,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Gender,Male,Oppose EU Integration,Oppose EU Integration,Plagiarism,Conservative Party,No Scandal,Liberal Democrats,Female
49,155.245.28.8,100,33,TRUE,2018/4/25 06:04,R_3fO0NGNPNkjlwBz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.902,0,13.61,13.61,14.387,1,Minister 2,9.598,9.598,10.372,1,Minister 2,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Female,Conservative Party,Sexual Harassment,Support EU Integration,Sexual Harassment,Liberal Democrats,Neutral,Male,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,Gender,Female,Conservative Party,Plagiarism,Neutral,Plagiarism,Conservative Party,Neutral,Female
50,155.245.28.9,100,58,TRUE,2018/4/25 06:04,R_ux1oANU92gNmMlH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,10.695,0,33.365,34.833,35.253,2,Minister 2,12.18,12.18,13.497,1,Minister 2,Gender,Male,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Female,Plagiarism,Labour Party,Neutral,Labour Party,Support EU Integration,No Scandal,Gender,Female,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Female,No Scandal,Labour Party,Neutral,Labour Party,Neutral,Sexual Harassment
51,155.245.28.9,100,53,TRUE,2018/4/25 06:37,R_3pcpzjBo96cv410,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.685,0,5.928,5.928,12.876,1,Minister 2,16.653,16.653,21.13,1,Minister 1,Scandal,No Scandal,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,Misreporting Funds,Labour Party,Labour Party,Neutral,Sexual Harassment,Neutral,Female,Scandal,No Scandal,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Male,No Scandal,Labour Party,Labour Party,Support EU Integration,Having an Extramarital Affair,Oppose EU Integration,Male
52,155.245.28.2,100,67,TRUE,2018/4/25 06:39,R_2Ba0GMNheiQvdxO,,,,,51.90859985,0.920898438,anonymous,EN,0,0,29.603,0,25.861,25.861,26.798,1,Minister 2,11.996,11.996,13.146,1,Minister 2,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Sexual Harassment,Neutral,Conservative Party,Misreporting Funds,Support EU Integration,Conservative Party,Female,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Male,PM's Scandal,Misreporting Funds,Support EU Integration,Conservative Party,No Scandal,Support EU Integration,Liberal Democrats,Male,Misreporting Funds
53,155.245.28.4,100,111,TRUE,2018/4/25 06:42,R_1cSTuEMS73XlhGx,,,,,51.90859985,0.920898438,anonymous,EN,0,0,53.001,0,39.856,39.856,41.265,1,Minister 1,19.242,19.242,20.31,1,Minister 1,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Gender,Female,Conservative Party,Support EU Integration,Liberal Democrats,No Scandal,Misreporting Funds,Oppose EU Integration,Female,PM's Partisanship,Conservative Party,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Gender,Male,Labour Party,Support EU Integration,Labour Party,Sexual Harassment,Misreporting Funds,Support EU Integration,Female
54,155.245.28.2,100,89,TRUE,2018/4/26 03:37,R_2dhEQeeLHtPzGuv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,39.913,0,21.493,21.493,22.628,1,Minister 2,29.218,29.218,30.256,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Male,Party Affiliation,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,Neutral,Conservative Party,Misreporting Funds,Male,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,Plagiarism,Gender,Male,Party Affiliation,Liberal Democrats,Neutral,Sexual Harassment,Neutral,Conservative Party,Misreporting Funds,Male,Liberal Democrats
55,155.245.28.2,100,53,TRUE,2018/4/26 04:35,R_1rPpvwmSIRAIuK0,,,,,51.90859985,0.920898438,anonymous,EN,4.461,11.304,21.066,8,14.542,14.542,15.729,1,Minister 1,12.141,12.141,17.729,1,Minister 1,PM's Position in EU Integration,Neutral,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Neutral,Male,Sexual Harassment,Labour Party,Labour Party,Oppose EU Integration,No Scandal,PM's Position in EU Integration,Support EU Integration,Gender,Female,Scandal,No Scandal,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Male,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Support EU Integration,Misreporting Funds
56,155.245.28.2,100,8,TRUE,2018/4/26 05:03,R_1imMkCq0ddymd0s,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.453,0,0.672,0.672,1.524,1,Minister 1,0.669,0.669,1.215,1,Minister 2,Gender,Male,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Male,Sexual Harassment,Labour Party,Misreporting Funds,Labour Party,Oppose EU Integration,Support EU Integration,Gender,Male,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,No Scandal,PM's Partisanship,Labour Party,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Male,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Conservative Party,Support EU Integration,Neutral
57,155.245.28.9,100,25,TRUE,2018/4/26 05:05,R_1Ime7sd90x44HZ3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,1.731,0,5.292,7.577,12.238,2,Minister 1,1.796,1.796,9.722,1,Minister 1,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Plagiarism,Plagiarism,Female,Support EU Integration,Oppose EU Integration,Liberal Democrats,Conservative Party,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Gender,Male,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Having an Extramarital Affair,Sexual Harassment,Female,Oppose EU Integration,Support EU Integration,Conservative Party,Conservative Party
58,155.245.28.8,100,88,TRUE,2018/4/26 05:07,R_eg05tZcD3Bu8wYp,,,,,51.90859985,0.920898438,anonymous,EN,0,0,33.9,0,27.445,27.445,28.63,1,Minister 2,27.662,28.018,29.231,2,Minister 2,PM's Position in EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Neutral,Neutral,Sexual Harassment,Liberal Democrats,Sexual Harassment,Female,Conservative Party,Neutral,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Oppose EU Integration,No Scandal,Liberal Democrats,Plagiarism,Female,Conservative Party,Support EU Integration
59,155.245.28.4,100,9,TRUE,2018/4/26 05:07,R_qxvE3vutYNNX8rv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.673,0,0.954,0.954,1.885,1,Minister 1,0.568,0.568,1.47,1,Minister 2,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Male,Scandal,No Scandal,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Neutral,Support EU Integration,Conservative Party,Female,Plagiarism,Having an Extramarital Affair,Conservative Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Male,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,Neutral,Support EU Integration,Liberal Democrats,Female,No Scandal,No Scandal,Conservative Party
60,155.245.28.2,100,63,TRUE,2018/4/26 05:40,R_shCjckq2RLV13Lb,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.289,0,24.926,24.926,26.717,1,Minister 2,17.531,17.531,19.648,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Gender,Female,Neutral,Conservative Party,Liberal Democrats,Plagiarism,Having an Extramarital Affair,Neutral,Female,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Gender,Female,Support EU Integration,Labour Party,Labour Party,Having an Extramarital Affair,No Scandal,Oppose EU Integration,Female
61,155.245.28.4,100,124,TRUE,2018/4/26 05:45,R_5p9Ov7DtLSXefCN,,,,,51.90859985,0.920898438,anonymous,EN,0,0,34.08,0,24.748,24.748,25.623,1,Minister 1,69.923,69.923,70.956,1,Minister 1,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Plagiarism,Support EU Integration,Liberal Democrats,Misreporting Funds,Neutral,Conservative Party,Female,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Having an Extramarital Affair,Neutral,Conservative Party,No Scandal,Support EU Integration,Conservative Party,Male
