IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6,F-1-7,F-1-1-7,F-1-2-7,F-2-7,F-2-1-7,F-2-2-7
155.245.28.8,100,88,TRUE,2018/4/26 05:07,R_eg05tZcD3Bu8wYp,,,,,51.90859985,0.920898438,anonymous,EN,0,0,33.9,0,27.445,27.445,28.63,1,Minister 2,27.662,28.018,29.231,2,Minister 2,PM's Position in EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,Neutral,Sexual Harassment,Liberal Democrats,Sexual Harassment,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,No Scandal,Liberal Democrats,Plagiarism,Gender,Male,PM's Partisanship,Conservative Party,Female,Conservative Party,Gender,Female,PM's Partisanship,Conservative Party,Female,Conservative Party,EU Integration,Neutral,Neutral,EU Integration,Support EU Integration,Support EU Integration
155.245.28.4,100,9,TRUE,2018/4/26 05:07,R_qxvE3vutYNNX8rv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.673,0,0.954,0.954,1.885,1,Minister 1,0.568,0.568,1.47,1,Minister 2,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Male,Neutral,Support EU Integration,Conservative Party,Female,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Male,Neutral,Support EU Integration,Liberal Democrats,Female,Scandal,No Scandal,PM's Scandal,Misreporting Funds,Plagiarism,Having an Extramarital Affair,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,No Scandal,No Scandal,PM's Partisanship,Labour Party,Conservative Party,PM's Partisanship,Labour Party,Conservative Party
155.245.28.2,100,63,TRUE,2018/4/26 05:40,R_shCjckq2RLV13Lb,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.289,0,24.926,24.926,26.717,1,Minister 2,17.531,17.531,19.648,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Neutral,Conservative Party,Liberal Democrats,Plagiarism,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Support EU Integration,Labour Party,Labour Party,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Neutral,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,No Scandal,Oppose EU Integration,Gender,Female,Female,Gender,Female,Female
155.245.28.4,100,124,TRUE,2018/4/26 05:45,R_5p9Ov7DtLSXefCN,,,,,51.90859985,0.920898438,anonymous,EN,0,0,34.08,0,24.748,24.748,25.623,1,Minister 1,69.923,69.923,70.956,1,Minister 1,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Plagiarism,Support EU Integration,Liberal Democrats,Misreporting Funds,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,Neutral,Conservative Party,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Neutral,Conservative Party,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Support EU Integration,Conservative Party,Gender,Male,Female,Gender,Female,Male
155.245.28.8,100,46,TRUE,2018/4/26 06:04,R_SBqLhpvIVFJkxTX,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.283,0,13.844,13.844,14.42,1,Minister 2,12.22,12.22,13.292,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Neutral,Neutral,Conservative Party,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Male,Support EU Integration,Support EU Integration,Labour Party,Male,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Scandal,No Scandal,Labour Party,Sexual Harassment,Scandal,Misreporting Funds,No Scandal,Scandal,Misreporting Funds,Plagiarism
155.245.28.4,100,80,TRUE,2018/4/26 06:05,R_vJkcTcQ37BSLwOZ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,57.87,0,8.224,8.224,9.524,1,Minister 2,14.762,14.762,15.695,1,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Conservative Party,Support EU Integration,Plagiarism,Oppose EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Conservative Party,Support EU Integration,Plagiarism,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,No Scandal,Liberal Democrats,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Plagiarism,Liberal Democrats,Gender,Female,Male,Gender,Male,Female
155.245.28.2,100,91,TRUE,2018/4/26 06:06,R_1pniXItjROHBxIA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,37.323,0,17.519,35.707,38.236,3,Minister 1,17.032,17.032,18.699,1,Minister 1,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Misreporting Funds,Neutral,Conservative Party,Neutral,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Plagiarism,Support EU Integration,Conservative Party,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Male,Conservative Party,Gender,Female,PM's Partisanship,Labour Party,Male,Conservative Party,PM's Scandal,Plagiarism,Plagiarism,PM's Scandal,Plagiarism,Misreporting Funds
155.245.28.9,100,134,TRUE,2018/4/26 06:08,R_1159i01WnioGzwG,,,,,51.90859985,0.920898438,anonymous,EN,0,0,55.231,0,22.638,22.638,38.118,1,Minister 2,31.313,31.313,32.642,1,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,Conservative Party,Misreporting Funds,Male,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Liberal Democrats,Labour Party,Sexual Harassment,Male,Labour Party,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,No Scandal,Neutral,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Neutral,EU Integration,Neutral,Oppose EU Integration,EU Integration,Oppose EU Integration,Support EU Integration
155.245.28.2,100,78,TRUE,2018/4/26 06:33,R_3KUyaXDNxuwGpu8,,,,,51.90859985,0.920898438,anonymous,EN,0,0,42.095,0,19.297,19.297,21.843,1,Minister 2,12.648,12.648,15.303,1,Minister 1,Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,Plagiarism,Neutral,Male,Neutral,Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Oppose EU Integration,Female,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Conservative Party,Plagiarism,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Conservative Party,No Scandal,Party Affiliation,Conservative Party,Liberal Democrats,Party Affiliation,Conservative Party,Conservative Party
155.245.28.8,100,42,TRUE,2018/4/26 06:35,R_1kFl2doJYghIknc,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.966,0,16.56,16.56,17.704,1,Minister 2,9.3,9.3,10.758,1,Minister 1,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Conservative Party,Plagiarism,Conservative Party,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Conservative Party,Misreporting Funds,Conservative Party,Neutral,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Neutral,Female,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Oppose EU Integration,Female,PM's Scandal,Plagiarism,No Scandal,PM's Scandal,Misreporting Funds,Misreporting Funds
155.245.28.4,100,90,TRUE,2018/4/26 06:35,R_1GQhSmIYsmKVMgd,,,,,51.90859985,0.920898438,anonymous,EN,0,0,53.639,0,27.884,27.884,29.45,1,Minister 1,8.274,8.274,10.46,1,Minister 2,EU Integration,Oppose EU Integration,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,Neutral,Plagiarism,Conservative Party,Male,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Male,Neutral,Having an Extramarital Affair,Conservative Party,Male,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Conservative Party,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Support EU Integration
155.245.28.9,100,83,TRUE,2018/4/26 06:47,R_2fE9GB4054Ywg37,,,,,51.90859985,0.920898438,anonymous,EN,0,0,52.478,0,18.601,18.601,19.787,1,Minister 1,11.958,11.958,13.808,1,Minister 2,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Plagiarism,Plagiarism,Neutral,Liberal Democrats,Scandal,Sexual Harassment,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Plagiarism,No Scandal,Support EU Integration,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Support EU Integration,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Neutral,Conservative Party,Gender,Female,Male,Gender,Male,Female
155.245.28.22,100,28,TRUE,2018/5/29 07:08,R_31Xi5VsJqgyV7lN,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.226,0,13.025,13.025,15.202,1,Minister 2,8.864,8.864,10.036,1,Minister 2,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Female,PM's Scandal,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Female,Plagiarism,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,PM's Scandal,Having an Extramarital Affair,Conservative Party,Having an Extramarital Affair,Male,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Oppose EU Integration,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Support EU Integration,Liberal Democrats,EU Integration,Oppose EU Integration,Support EU Integration,EU Integration,Support EU Integration,Support EU Integration
155.245.28.24,100,21,TRUE,2018/5/29 07:08,R_1OUe5AoZZp92XBA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.272,0,1.952,1.952,3.241,1,Minister 2,11.207,11.207,12.037,1,Minister 1,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Support EU Integration,Having an Extramarital Affair,Neutral,Female,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Support EU Integration,Plagiarism,Support EU Integration,Male,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Conservative Party,No Scandal,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,Conservative Party,Plagiarism,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Conservative Party
155.245.28.10,100,46,TRUE,2018/5/29 07:08,R_2OSzd16MYZS1YMo,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.267,0,15.922,15.922,22.37,1,Minister 1,6.547,6.547,15.887,1,Minister 1,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Sexual Harassment,Oppose EU Integration,Conservative Party,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Sexual Harassment,Neutral,Conservative Party,Neutral,Scandal,Plagiarism,Gender,Male,Sexual Harassment,Male,Scandal,No Scandal,Gender,Male,Sexual Harassment,Female,Party Affiliation,Liberal Democrats,Liberal Democrats,Party Affiliation,Labour Party,Conservative Party
155.245.28.13,100,20,TRUE,2018/5/29 07:08,R_2Ui8qJ6vuDosoeC,,,,,51.90859985,0.920898438,anonymous,EN,0,0,4.179,0,4.898,4.898,5.574,1,Minister 2,8.209,8.209,9.233,1,Minister 1,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Plagiarism,Support EU Integration,Having an Extramarital Affair,Labour Party,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Plagiarism,Oppose EU Integration,Sexual Harassment,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Neutral,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Support EU Integration,Liberal Democrats,Gender,Female,Female,Gender,Male,Male
155.245.28.21,100,40,TRUE,2018/5/29 07:08,R_3k1hU4p2qkgPjOJ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,17.656,0,12.505,12.505,13.752,1,Minister 1,7.496,7.496,8.464,1,Minister 1,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,Female,Liberal Democrats,Plagiarism,Support EU Integration,Gender,Female,Party Affiliation,Labour Party,PM's Scandal,No Scandal,EU Integration,Neutral,Female,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,Scandal,Having an Extramarital Affair,Sexual Harassment,Scandal,Sexual Harassment,Sexual Harassment
155.245.28.11,100,58,TRUE,2018/5/29 07:09,R_3t3J4uMaPUTADrH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.59,0,25.396,25.396,27.032,1,Minister 1,8.074,8.074,11.195,1,Minister 2,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,Support EU Integration,Labour Party,Labour Party,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Support EU Integration,Conservative Party,Liberal Democrats,No Scandal,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Plagiarism,Support EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,No Scandal,Neutral,Gender,Female,Female,Gender,Female,Male
155.245.28.26,100,36,TRUE,2018/5/29 07:09,R_1FyamOx6R9ttLkU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.397,0,18.172,18.172,19.921,1,Minister 1,7.022,7.022,10.829,1,Minister 1,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Gender,Male,Conservative Party,Misreporting Funds,Neutral,Female,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Conservative Party,No Scandal,Oppose EU Integration,Male,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Oppose EU Integration,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Oppose EU Integration,Party Affiliation,Liberal Democrats,Conservative Party,Party Affiliation,Liberal Democrats,Conservative Party
155.245.28.16,100,42,TRUE,2018/5/29 07:09,R_3PzXXDkgyPKS98d,,,,,51.90859985,0.920898438,anonymous,EN,5.737,5.737,16.667,1,8.212,13.216,14.467,3,Minister 1,6.067,11.283,11.621,4,Minister 2,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Gender,Male,Support EU Integration,Neutral,Having an Extramarital Affair,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Oppose EU Integration,Neutral,No Scandal,Female,Party Affiliation,Labour Party,PM's Scandal,Having an Extramarital Affair,Liberal Democrats,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,Labour Party,Misreporting Funds,PM's Partisanship,Labour Party,Conservative Party,PM's Partisanship,Conservative Party,Labour Party
155.245.28.23,100,22,TRUE,2018/5/29 07:09,R_Rwpx3EblM4VRiOl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.15,0,8.482,8.482,9.414,1,Minister 2,8.065,8.065,9.451,1,Minister 1,Gender,Male,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Male,Conservative Party,Sexual Harassment,Sexual Harassment,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Scandal,No Scandal,Female,Labour Party,Misreporting Funds,No Scandal,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Neutral,Neutral,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Support EU Integration,Neutral,Party Affiliation,Labour Party,Conservative Party,Party Affiliation,Labour Party,Labour Party
155.245.28.17,100,54,TRUE,2018/5/29 07:10,R_2zZmbrm7HlxEf0n,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19,0,24.837,24.837,27.017,1,Minister 1,7.179,7.179,9.362,1,Minister 1,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Misreporting Funds,Conservative Party,Support EU Integration,Plagiarism,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Misreporting Funds,Conservative Party,Support EU Integration,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,Liberal Democrats,Female,Party Affiliation,Labour Party,Gender,Female,Liberal Democrats,Female,PM's Position in EU Integration,Oppose EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Support EU Integration
155.245.28.20,100,56,TRUE,2018/5/29 07:11,R_2DODeTTvGEUw73i,,,,,51.90859985,0.920898438,anonymous,EN,0,0,12.785,0,17.368,24.219,28.298,2,Minister 2,13.975,13.975,15.957,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Having an Extramarital Affair,Conservative Party,Support EU Integration,Female,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Having an Extramarital Affair,Conservative Party,Neutral,Male,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Neutral,Sexual Harassment,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Neutral,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Conservative Party,Party Affiliation,Liberal Democrats,Liberal Democrats
155.245.28.2,100,114,TRUE,2018/5/29 07:13,R_247rQ1bkFMrGs2T,,,,,51.90859985,0.920898438,anonymous,EN,0,0,47.01,0,45.907,45.907,47.209,1,Minister 2,22.482,22.482,24.16,1,Minister 1,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,Conservative Party,No Scandal,Liberal Democrats,No Scandal,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Conservative Party,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Female,Oppose EU Integration,Male,EU Integration,Support EU Integration,Gender,Female,Oppose EU Integration,Male,PM's Position in EU Integration,Support EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Oppose EU Integration
155.245.28.12,100,190,TRUE,2018/5/29 07:17,R_x4xXrM1Upu02lYl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,91.962,0,35.325,35.325,36.511,1,Minister 2,67.979,67.979,71.284,1,Minister 2,Gender,Male,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Female,No Scandal,Labour Party,Support EU Integration,Gender,Female,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Male,Plagiarism,Conservative Party,Neutral,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Labour Party,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Liberal Democrats,Oppose EU Integration,Scandal,Misreporting Funds,No Scandal,Scandal,Misreporting Funds,No Scandal
155.245.28.10,100,26,TRUE,2018/5/29 07:33,R_2q4X0GXGiECzs4E,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.526,0,7.104,7.104,8.516,1,Minister 2,4.467,12.301,13.542,3,Minister 1,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Support EU Integration,Having an Extramarital Affair,Conservative Party,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Support EU Integration,No Scandal,Liberal Democrats,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Female,Support EU Integration,Gender,Male,EU Integration,Support EU Integration,Female,Oppose EU Integration,Scandal,Plagiarism,Having an Extramarital Affair,Scandal,No Scandal,Sexual Harassment
155.245.28.8,100,50,TRUE,2018/5/29 07:36,R_3CQ7oH8KzSl2ds3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.893,0,23.892,23.892,27.48,1,Minister 1,19.34,19.34,20.228,1,Minister 2,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Female,Support EU Integration,Conservative Party,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Female,Oppose EU Integration,Labour Party,No Scandal,Scandal,No Scandal,PM's Partisanship,Conservative Party,Misreporting Funds,Conservative Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Sexual Harassment,Labour Party,EU Integration,Oppose EU Integration,Support EU Integration,EU Integration,Neutral,Neutral
155.245.28.2,100,75,TRUE,2018/5/29 07:36,R_1o5agTdfhoVU3yR,,,,,51.90859985,0.920898438,anonymous,EN,0,0,22.403,0,15.357,39.799,40.827,5,Minister 2,4.83,4.83,13.892,1,Minister 1,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Labour Party,Support EU Integration,Having an Extramarital Affair,Male,Conservative Party,EU Integration,Support EU Integration,Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,Support EU Integration,Sexual Harassment,Male,Labour Party,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,Liberal Democrats,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Labour Party,Support EU Integration,PM's Scandal,Sexual Harassment,Misreporting Funds,PM's Scandal,Plagiarism,Misreporting Funds
155.245.28.4,100,58,TRUE,2018/5/29 08:08,R_22VXkZJsCcfoVkO,,,,,51.90859985,0.920898438,anonymous,EN,0,0,27.929,0,22.226,22.226,22.827,1,Minister 2,7.353,7.353,8.622,1,Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Oppose EU Integration,Liberal Democrats,No Scandal,Conservative Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Support EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,Gender,Male,PM's Scandal,Misreporting Funds,Female,Having an Extramarital Affair,Gender,Female,PM's Scandal,Sexual Harassment,Female,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration
155.245.28.9,100,104,TRUE,2018/5/29 08:09,R_AgmvsAn4pqzN4M9,,,,,51.90859985,0.920898438,anonymous,EN,0,0,62.208,0,27.059,27.059,28.434,1,Minister 1,16.411,16.411,17.283,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,Support EU Integration,Plagiarism,Male,Liberal Democrats,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,Neutral,Sexual Harassment,Female,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Oppose EU Integration,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Conservative Party
155.245.28.9,100,61,TRUE,2018/5/29 08:38,R_2wnlpp3hYEcYBpA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,10.117,0,20.686,24.199,27.158,2,Minister 2,23.091,23.091,24.514,1,Minister 2,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Male,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Plagiarism,Oppose EU Integration,Conservative Party,Female,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Misreporting Funds,Liberal Democrats,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Having an Extramarital Affair,Liberal Democrats,EU Integration,Neutral,Neutral,EU Integration,Oppose EU Integration,Neutral
