,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
233,82.26.186.122,100,15,TRUE,2018/6/19 05:29,R_3iD9kkGzKJcPuuN,NA,NA,NA,NA,51.35209656,0.533706665,anonymous,EN,5.696,6.653,8.057,2,Prime Minister 2,3.528,3.528,5.932,1,Prime Minister 2,Minister's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Conservative Party,Male,Conservative Party,Sexual Harassment,Plagiarism,Neutral,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Labour Party,Male,Labour Party,Misreporting Funds,No Scandal,Neutral
234,155.245.52.75,100,40,TRUE,2018/6/19 05:30,R_O1nZXScmY6UQfoR,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,21.417,21.417,26.887,1,Prime Minister 2,11.828,11.828,12.984,1,Prime Minister 2,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,No Scandal,Conservative Party,Female,Neutral,Liberal Democrats,Plagiarism,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,No Scandal,Labour Party,Male,Support EU Integration,Labour Party,Misreporting Funds
235,213.205.251.21,100,31,TRUE,2018/6/19 05:40,R_CgIQFZFjtHjhg4x,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,1.272,17.117,18.034,5,Prime Minister 1,1.108,5.716,7.478,6,Prime Minister 2,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Having an Extramarital Affair,Liberal Democrats,Neutral,Female,Sexual Harassment,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,EU Integration,Neutral,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,No Scandal,Conservative Party,Oppose EU Integration,Female,Misreporting Funds,Conservative Party
237,62.172.163.242,100,28,TRUE,2018/6/19 05:42,R_1melzwwv3xlZCbe,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,14.474,14.474,15.824,1,Prime Minister 2,2.013,10.775,11.828,2,Prime Minister 2,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Male,Conservative Party,Misreporting Funds,Misreporting Funds,Oppose EU Integration,Liberal Democrats,Gender,Male,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Male,Conservative Party,Sexual Harassment,Plagiarism,Neutral,Liberal Democrats
238,90.221.94.253,100,59,TRUE,2018/6/19 05:42,R_1CeBOQYEETcW5iK,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,1.745,13.608,15.559,3,Prime Minister 1,2.08,34.833,42.43,4,Prime Minister 2,Minister's Partisanship,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Gender,Female,Labour Party,Neutral,Plagiarism,Labour Party,No Scandal,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Labour Party,Oppose EU Integration,Misreporting Funds,Labour Party,No Scandal,Female
239,88.96.54.126,100,9,TRUE,2018/6/19 05:43,R_1hDPTFSE9fUV6Mo,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.536,3.536,4.787,1,Prime Minister 1,2.125,2.125,3.744,1,Prime Minister 1,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Party Affiliation,Conservative Party,Scandal,No Scandal,Having an Extramarital Affair,Conservative Party,Neutral,Male,Conservative Party,No Scandal,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,EU Integration,Neutral,Gender,Male,Party Affiliation,Labour Party,Scandal,No Scandal,Misreporting Funds,Liberal Democrats,Support EU Integration,Male,Conservative Party,Plagiarism
240,155.245.59.27,100,53,TRUE,2018/6/19 05:46,R_6o56ZaA19NRRLqh,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,28.733,28.733,37.932,1,Prime Minister 1,11.933,11.933,13.64,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Labour Party,Neutral,Female,Labour Party,Misreporting Funds,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Plagiarism,Labour Party,Support EU Integration,Female,Labour Party,No Scandal,No Scandal
241,86.137.181.112,100,25,TRUE,2018/6/19 05:48,R_3nNTGjctmjkgRbz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.961,10.643,11.72,4,Prime Minister 1,10.681,10.695,12.462,2,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,No Scandal,Oppose EU Integration,Sexual Harassment,Female,Labour Party,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Sexual Harassment,Neutral,Sexual Harassment,Male,Liberal Democrats,Conservative Party
242,86.1.188.221,100,19,TRUE,2018/6/19 05:49,R_301WvrvvaVONQmi,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.426,12.86,13.586,4,Prime Minister 2,3.96,4.601,5.139,3,Prime Minister 2,Scandal,No Scandal,Minister's Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Sexual Harassment,Sexual Harassment,Female,Neutral,Labour Party,Labour Party,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Plagiarism,No Scandal,Male,Neutral,Conservative Party,Conservative Party
243,155.245.98.61,100,27,TRUE,2018/6/19 05:49,R_33xxsI8nnyRQjLn,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,6.286,6.286,7.01,1,Prime Minister 1,16.351,16.351,20.283,1,Prime Minister 1,Scandal,Plagiarism,Gender,Male,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Sexual Harassment,Female,Having an Extramarital Affair,Labour Party,Labour Party,Oppose EU Integration,Scandal,No Scandal,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,No Scandal,Male,Misreporting Funds,Conservative Party,Conservative Party,Oppose EU Integration
244,155.245.62.220,100,38,TRUE,2018/6/19 05:50,R_1pmxpQ62L5EtfKz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,27.437,27.437,28.987,1,Prime Minister 1,8.33,8.33,9.217,1,Prime Minister 2,Gender,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Male,Conservative Party,No Scandal,Oppose EU Integration,Conservative Party,Misreporting Funds,Gender,Female,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Liberal Democrats,No Scandal,Support EU Integration,Conservative Party,Plagiarism
245,155.245.60.141,100,35,TRUE,2018/6/19 05:50,R_1F8wkrBhHnwtq7k,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,21.126,23.369,23.9,3,Prime Minister 2,10.375,10.375,11.112,1,Prime Minister 2,Gender,Female,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Male,Liberal Democrats,No Scandal,Conservative Party,Neutral,No Scandal,Gender,Male,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Male,Labour Party,Sexual Harassment,Labour Party,Support EU Integration,Sexual Harassment
246,176.26.250.210,100,35,TRUE,2018/6/19 05:51,R_3njUsHrvTFCas86,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,9.888,12.319,13.358,6,Prime Minister 2,16.23,19.168,21.164,5,Prime Minister 2,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Neutral,Conservative Party,Male,No Scandal,Having an Extranarital Affair,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Oppose EU Integration,Labour Party,Female,No Scandal,Sexual Harassment,Labour Party
247,82.132.233.8,100,45,TRUE,2018/6/19 05:51,R_2b0FcPvblugEChU,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,1.82,26.222,27.892,4,Prime Minister 2,13.97,15.021,15.98,3,Prime Minister 2,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Conservative Party,Female,Having an Extranarital Affair,Conservative Party,Sexual Harassment,Neutral,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Liberal Democrats,Male,Plagiarism,Conservative Party,Sexual Harassment,Oppose EU Integration
248,155.245.97.161,100,140,TRUE,2018/6/19 05:51,R_33vfPSVYBIzunRy,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,21.33,21.33,22.26,1,Prime Minister 1,122.29,122.29,123.099,1,Prime Minister 2,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Oppose EU Integration,Conservative Party,Male,Having an Extramarital Affair,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Male,Minister's Scandal,No Scandal,Plagiarism,Conservative Party,Neutral,Conservative Party,Male,Plagiarism
249,51.7.83.115,100,27,TRUE,2018/6/19 05:56,R_1f33BGghBUEU8FF,NA,NA,NA,NA,51.13330078,0.283294678,anonymous,EN,8.685,8.685,11.211,1,Prime Minister 1,14.493,14.493,15.236,1,Prime Minister 2,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Female,Sexual Harassment,Support EU Integration,Conservative Party,Liberal Democrats,No Scandal,Gender,Female,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Misreporting Funds,Male,Plagiarism,Neutral,Conservative Party,Liberal Democrats,Misreporting Funds
250,193.113.48.9,100,25,TRUE,2018/6/19 05:56,R_3Ld3c2lJfICB8rK,NA,NA,NA,NA,51.56669617,-0.016693115,anonymous,EN,10.873,10.873,12.497,1,Prime Minister 1,6.913,9.083,11.422,2,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Labour Party,Plagiarism,Female,Neutral,Labour Party,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Gender,Male,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Conservative Party,Having an Extramarital Affair,Female,Oppose EU Integration,Liberal Democrats,Sexual Harassment
251,2.27.191.252,100,36,TRUE,2018/6/19 05:57,R_1mCq48S3VMtJTvV,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.017,16.744,18.746,2,Prime Minister 1,3.775,14.775,16.609,2,Prime Minister 1,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Labour Party,Sexual Harassment,Sexual Harassment,Support EU Integration,Male,Labour Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Conservative Party,No Scandal,Sexual Harassment,Neutral,Male,Conservative Party
252,131.111.84.203,100,20,TRUE,2018/6/19 05:57,R_AI4SBSh8skcE6Cl,NA,NA,NA,NA,52.19999695,0.116699219,anonymous,EN,12.454,12.454,13.412,1,Prime Minister 1,4.713,4.713,5.839,1,Prime Minister 1,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,EU Integration,Support EU Integration,Labour Party,Having an Extranarital Affair,Sexual Harassment,Labour Party,Male,Oppose EU Integration,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,EU Integration,Support EU Integration,Conservative Party,No Scandal,No Scandal,Conservative Party,Male,Oppose EU Integration
254,146.200.33.46,100,22,TRUE,2018/6/19 06:04,R_3R1SWTXWua5AyEU,NA,NA,NA,NA,51.94999695,0.633300781,anonymous,EN,2.177,9.471,13.965,5,Prime Minister 1,1.1,2.401,7.118,3,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Male,Conservative Party,Plagiarism,Neutral,Sexual Harassment,Conservative Party,Male,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Female,Conservative Party,Misreporting Funds,Neutral,Sexual Harassment,Conservative Party,Male
255,155.245.90.104,100,29,TRUE,2018/6/19 06:05,R_3NEUyW3pXI6QSoz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.815,7.815,8.869,1,Prime Minister 2,18.411,18.411,19.203,1,Prime Minister 1,Gender,Male,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,Female,Neutral,Sexual Harassment,Labour Party,Labour Party,No Scandal,Gender,Male,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Male,Neutral,No Scandal,Labour Party,Labour Party,Having an Extramarital Affair
256,82.27.112.20,100,32,TRUE,2018/6/19 06:08,R_3iQBaRj2bGuEStk,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.979,16.392,17.195,5,Prime Minister 1,2.626,10.584,11.674,4,Prime Minister 2,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Minister's Scandal,No Scandal,Scandal,No Scandal,Conservative Party,Oppose EU Integration,Conservative Party,Male,Plagiarism,No Scandal,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Labour Party,Support EU Integration,Labour Party,Female,No Scandal,No Scandal
257,155.245.155.242,100,39,TRUE,2018/6/19 06:10,R_ZCCYXYX0Fb52HPX,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.383,12.142,13.72,5,Prime Minister 2,1.228,23.269,23.95,4,Prime Minister 2,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Female,Having an Extranarital Affair,Support EU Integration,Plagiarism,Conservative Party,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Male,Sexual Harassment,Support EU Integration,No Scandal,Liberal Democrats,Conservative Party
258,85.115.54.201,100,22,TRUE,2018/6/19 06:12,R_1nSLWihsp7bubFy,NA,NA,NA,NA,51.48910522,-0.110702515,anonymous,EN,9.362,9.362,11.377,1,Prime Minister 2,9.265,9.265,10.637,1,Prime Minister 1,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,Oppose EU Integration,No Scandal,Conservative Party,Conservative Party,Male,No Scandal,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Support EU Integration,Sexual Harassment,Conservative Party,Conservative Party,Male,Plagiarism
259,90.200.133.108,100,78,TRUE,2018/6/19 06:18,R_31nPm8c7ywHgD2k,NA,NA,NA,NA,50.8999939,-1.399993896,anonymous,EN,1.553,64.877,66.765,4,Prime Minister 2,0.949,9.982,10.658,5,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Female,Conservative Party,No Scandal,Neutral,Having an Extranarital Affair,Liberal Democrats,Male,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Male,Conservative Party,Misreporting Funds,Neutral,Having an Extranarital Affair,Conservative Party,Male
260,62.255.36.196,100,38,TRUE,2018/6/19 06:18,R_1Kv5ZvdQPlMPi5k,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,17.906,17.906,25.564,1,Prime Minister 2,9.457,9.457,11.968,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Conservative Party,Plagiarism,Male,Neutral,Conservative Party,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Labour Party,Misreporting Funds,Female,Neutral,Labour Party,Having an Extranarital Affair
261,2.96.125.239,100,38,TRUE,2018/6/19 06:19,R_DoOwDYOohEsmmUF,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,19.617,19.617,21.323,1,Prime Minister 1,15.503,15.503,16.922,1,Prime Minister 2,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Sexual Harassment,Labour Party,No Scandal,Neutral,Labour Party,Female,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,No Scandal,Labour Party,Having an Extranarital Affair,Oppose EU Integration,Labour Party,Female
262,188.223.61.86,100,65,TRUE,2018/6/19 06:21,R_2Qy5schqohTPBFX,NA,NA,NA,NA,51.43330383,-1,anonymous,EN,1.113,32.386,33.245,4,Prime Minister 1,0.941,30.184,31.027,4,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Plagiarism,EU Integration,Neutral,Liberal Democrats,Plagiarism,Conservative Party,Male,Having an Extramarital Affair,Oppose EU Integration,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Conservative Party,Misreporting Funds,Conservative Party,Female,Having an Extramarital Affair,Support EU Integration
263,86.11.248.91,100,20,TRUE,2018/6/19 06:25,R_2xShy6VJFwUHHKw,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,6.538,10.09,10.609,5,Prime Minister 1,6.098,6.58,7.059,3,Prime Minister 2,Gender,Female,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Female,Plagiarism,Having an Extranarital Affair,Neutral,Conservative Party,Liberal Democrats,Gender,Male,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Male,Misreporting Funds,Having an Extranarital Affair,Oppose EU Integration,Conservative Party,Liberal Democrats
264,81.153.144.254,100,28,TRUE,2018/6/19 06:27,R_qxW5aKUcXw04p1v,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0.453,3.004,4.782,3,Prime Minister 1,1.424,7.02,21.385,4,Prime Minister 2,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Scandal,Misreporting Funds,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Male,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Plagiarism,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Liberal Democrats,Conservative Party,Sexual Harassment,Female,No Scandal
265,82.132.227.159,100,14,TRUE,2018/6/19 06:27,R_322rY7a9WOEeVz5,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,4.716,6.41,7.29,4,Prime Minister 1,4.135,5.723,6.536,4,Prime Minister 1,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,No Scandal,Labour Party,Neutral,Misreporting Funds,Labour Party,Male,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Plagiarism,Labour Party,Neutral,Having an Extranarital Affair,Labour Party,Female,Sexual Harassment
266,46.183.192.158,100,35,TRUE,2018/6/19 06:27,R_1OjEo3IFTgYZtRz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.494,13.315,17.462,3,Prime Minister 1,4.239,13.371,16.39,3,Prime Minister 2,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Gender,Male,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,No Scandal,Misreporting Funds,Male,Liberal Democrats,Oppose EU Integration,Conservative Party,Scandal,No Scandal,Minister's Scandal,Plagiarism,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Having an Extranarital Affair,Plagiarism,Male,Labour Party,Neutral,Labour Party
267,94.197.120.217,100,25,TRUE,2018/6/19 06:28,R_12ookXE9717Zm9d,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.321,17.945,18.726,3,Prime Minister 1,1.187,4.65,5.367,3,Prime Minister 2,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Support EU Integration,Female,Sexual Harassment,Labour Party,Labour Party,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Neutral,Female,Plagiarism,Labour Party,Labour Party,Plagiarism
268,82.132.228.55,100,16,TRUE,2018/6/19 06:28,R_22ugOO552K2PY5r,NA,NA,NA,NA,53.38330078,-2.600006104,anonymous,EN,2.547,6.83,9.419,4,Prime Minister 2,1.389,2.897,7.406,4,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Support EU Integration,No Scandal,Female,Sexual Harassment,Labour Party,Labour Party,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Oppose EU Integration,Plagiarism,Male,Misreporting Funds,Labour Party,Labour Party
269,155.245.29.160,100,19,TRUE,2018/6/19 06:30,R_7TCKtkES6z8ueqJ,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,6.551,6.551,7.923,1,Prime Minister 1,9.53,9.53,10.506,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Labour Party,Having an Extramarital Affair,Male,Labour Party,Neutral,Sexual Harassment,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Conservative Party,Plagiarism,Female,Conservative Party,Oppose EU Integration,Misreporting Funds
270,86.14.185.108,100,43,TRUE,2018/6/19 06:30,R_22EunkW4YKlU40W,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,6.81,10.106,11.924,2,Prime Minister 1,3.162,31.268,33.158,2,Prime Minister 2,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Scandal,Plagiarism,Gender,Female,Oppose EU Integration,Labour Party,Misreporting Funds,Labour Party,Misreporting Funds,Male,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Male,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,No Scandal,Male
