"","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_First.Click","Q1_Last.Click","Q1_Page.Submit","Q1_Click.Count","Q2","Q3_First.Click","Q3_Last.Click","Q3_Page.Submit","Q3_Click.Count","Q4","F.1.1","F.1.1.1","F.1.2","F.1.1.2","F.1.3","F.1.1.3","F.1.4","F.1.1.4","F.1.2.1","F.1.2.2","F.1.2.3","F.1.2.4","F.2.1","F.2.1.1","F.2.2","F.2.1.2","F.2.3","F.2.1.3","F.2.4","F.2.1.4","F.2.2.1","F.2.2.2","F.2.2.3","F.2.2.4"
"248","176.26.250.210",100,22,TRUE,"2018/6/19 05:48","R_cwDxG4LWmD18j2F",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",8.426,8.426,10,1,"Candidate 2",8.243,8.243,9.984,1,"Candidate 2","Scandal","Plagiarism","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Gender","Female","No Scandal","Conservative Party","Support EU Integration","Female","Scandal","No Scandal","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Gender","Female","No Scandal","Conservative Party","Support EU Integration","Female"
"249","155.245.60.141",100,18,TRUE,"2018/6/19 05:49","R_1rBJNBHKui7xxly",NA,NA,NA,NA,51.88279724,1.004592896,"anonymous","EN",6.382,6.937,8.856,2,"Candidate 2",7.347,7.347,8.192,1,"Candidate 2","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Gender","Male","Having an Extramarital Affair","Support EU Integration","Labour Party","Female","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Gender","Male","Plagiarism","Support EU Integration","Conservative Party","Female"
"250","2.27.191.252",100,38,TRUE,"2018/6/19 05:53","R_2uySq4mV4Q5arV1",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",17.732,20.433,21.604,2,"Candidate 2",10.771,13.565,14.724,2,"Candidate 2","Scandal","Sexual Harassment","EU Integration","Neutral","Gender","Male","Party Affiliation","Conservative Party","Plagiarism","Oppose EU Integration","Female","Conservative Party","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Gender","Male","Party Affiliation","Conservative Party","No Scandal","Support EU Integration","Female","Liberal Democrats"
"251","193.113.48.9",100,31,TRUE,"2018/6/19 05:54","R_2uD7Nwtgw6IaG58",NA,NA,NA,NA,51.56669617,-0.016693115,"anonymous","EN",17.939,17.939,20.177,1,"Candidate 1",9.223,9.223,10.841,1,"Candidate 2","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Gender","Male","Party Affiliation","Conservative Party","Having an Extramarital Affair","Oppose EU Integration","Female","Liberal Democrats","Scandal","Sexual Harassment","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Liberal Democrats","Misreporting Funds","Neutral","Female","Conservative Party"
"252","51.7.83.115",100,22,TRUE,"2018/6/19 05:55","R_1JRCDOzcumQ1UVx",NA,NA,NA,NA,51.13330078,0.283294678,"anonymous","EN",7.667,12.049,12.771,2,"Candidate 1",6.349,7.598,8.532,2,"Candidate 2","Scandal","Sexual Harassment","EU Integration","Neutral","Gender","Female","Party Affiliation","Conservative Party","Misreporting Funds","Neutral","Male","Conservative Party","Scandal","Misreporting Funds","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Conservative Party","Sexual Harassment","Oppose EU Integration","Female","Conservative Party"
"253","131.111.84.203",100,33,TRUE,"2018/6/19 05:56","R_2rhVAYBBSID2c0X",NA,NA,NA,NA,52.19999695,0.116699219,"anonymous","EN",8.406,8.406,10.416,1,"Candidate 1",20.983,20.983,22.169,1,"Candidate 2","EU Integration","Support EU Integration","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","Gender","Female","Neutral","Misreporting Funds","Labour Party","Female","EU Integration","Support EU Integration","Scandal","No Scandal","Party Affiliation","Liberal Democrats","Gender","Male","Neutral","Having an Extramarital Affair","Labour Party","Female"
"255","146.200.33.46",100,14,TRUE,"2018/6/19 06:03","R_27dSTvMmS6RbY3Y",NA,NA,NA,NA,51.94999695,0.633300781,"anonymous","EN",1.322,7.719,8.753,3,"Candidate 1",1.392,3.008,4.238,3,"Candidate 1","Scandal","No Scandal","Party Affiliation","Labour Party","EU Integration","Neutral","Gender","Male","Plagiarism","Conservative Party","Oppose EU Integration","Male","Scandal","No Scandal","Party Affiliation","Conservative Party","EU Integration","Neutral","Gender","Male","Plagiarism","Conservative Party","Oppose EU Integration","Male"
"256","155.245.90.104",100,20,TRUE,"2018/6/19 06:03","R_wQYbo5nvwszVzCV",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",8.178,8.178,9.277,1,"Candidate 2",8.756,8.756,9.857,1,"Candidate 1","Scandal","Sexual Harassment","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Gender","Female","Sexual Harassment","Neutral","Conservative Party","Female","Scandal","Plagiarism","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Gender","Female","Having an Extramarital Affair","Neutral","Conservative Party","Female"
"257","82.27.112.20",100,28,TRUE,"2018/6/19 06:03","R_b3dalEz1BMemkO5",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",7.149,8.944,9.509,3,"Candidate 1",11.855,15.193,15.496,3,"Candidate 1","Scandal","No Scandal","Party Affiliation","Labour Party","EU Integration","Neutral","Gender","Male","Plagiarism","Conservative Party","Oppose EU Integration","Male","Scandal","No Scandal","Party Affiliation","Conservative Party","EU Integration","Neutral","Gender","Male","Plagiarism","Conservative Party","Oppose EU Integration","Male"
"258","155.245.155.242",100,24,TRUE,"2018/6/19 06:07","R_1lmXYtMaHw3H8wl",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",1.291,8.981,12.877,4,"Candidate 1",1.218,6.229,8.635,4,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","Having an Extramarital Affair","Gender","Male","Party Affiliation","Conservative Party","Oppose EU Integration","Sexual Harassment","Male","Labour Party","EU Integration","Oppose EU Integration","Scandal","Misreporting Funds","Gender","Male","Party Affiliation","Conservative Party","Neutral","Having an Extramarital Affair","Male","Liberal Democrats"
"259","85.115.54.201",100,16,TRUE,"2018/6/19 06:10","R_2SH5fLqSg5Y5U34",NA,NA,NA,NA,51.48910522,-0.110702515,"anonymous","EN",6.248,6.248,7.323,1,"Candidate 2",7.481,7.481,8.488,1,"Candidate 2","EU Integration","Neutral","Gender","Female","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Oppose EU Integration","Female","Having an Extramarital Affair","Labour Party","EU Integration","Support EU Integration","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Conservative Party","Oppose EU Integration","Female","No Scandal","Liberal Democrats"
"260","90.200.133.108",100,23,TRUE,"2018/6/19 06:14","R_2B5tgG7gKkwKgSd",NA,NA,NA,NA,50.8999939,-1.399993896,"anonymous","EN",1.564,11.394,12.393,3,"Candidate 2",8.346,9.088,9.994,3,"Candidate 2","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Gender","Female","Scandal","Misreporting Funds","Neutral","Labour Party","Male","Having an Extramarital Affair","EU Integration","Neutral","Party Affiliation","Labour Party","Gender","Male","Scandal","Sexual Harassment","Neutral","Liberal Democrats","Male","Plagiarism"
"261","62.255.36.196",100,9728,TRUE,"2018/6/19 06:15","R_a4BaKTEZCFFVt5f",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",10687.337,10687.337,10688.443,1,"Candidate 1",7.883,7.883,8.614,1,"Candidate 1","Party Affiliation","Labour Party","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Oppose EU Integration","Liberal Democrats","Plagiarism","Female","Support EU Integration","Party Affiliation","Liberal Democrats","Scandal","No Scandal","Gender","Male","EU Integration","Oppose EU Integration","Conservative Party","Misreporting Funds","Male","Neutral"
"262","2.96.125.239",100,35,TRUE,"2018/6/19 06:17","R_3NVqIwp6cGhJDgK",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",19.866,19.866,21.479,1,"Candidate 2",12.375,12.375,14.149,1,"Candidate 1","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Scandal","Having an Extramarital Affair","Gender","Male","Liberal Democrats","Support EU Integration","Having an Extramarital Affair","Female","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","Having an Extramarital Affair","Gender","Male","Liberal Democrats","Oppose EU Integration","No Scandal","Male"
"263","188.223.61.86",100,21,TRUE,"2018/6/19 06:17","R_yWvoTz2fzVg3oNr",NA,NA,NA,NA,51.43330383,-1,"anonymous","EN",0.078,11.169,11.854,5,"Candidate 1",1.032,7.424,8.326,3,"Candidate 1","Scandal","Having an Extramarital Affair","Gender","Male","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Misreporting Funds","Female","Conservative Party","Oppose EU Integration","Scandal","Plagiarism","Gender","Male","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Sexual Harassment","Female","Labour Party","Neutral"
"264","86.11.248.91",100,20,TRUE,"2018/6/19 06:23","R_2eVyaleHUcvyb8u",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",2.442,3.055,3.625,3,"Candidate 2",3.084,3.088,6.545,2,"Candidate 2","Party Affiliation","Liberal Democrats","EU Integration","Oppose EU Integration","Scandal","Sexual Harassment","Gender","Male","Liberal Democrats","Oppose EU Integration","Misreporting Funds","Male","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Scandal","No Scandal","Gender","Female","Liberal Democrats","Neutral","Having an Extramarital Affair","Female"
"265","46.183.192.158",100,26,TRUE,"2018/6/19 06:25","R_231qCFdCGzC9Mr3",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",9.331,10.123,11.294,3,"Candidate 2",8.539,11.667,14.009,3,"Candidate 1","EU Integration","Neutral","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Gender","Male","Support EU Integration","Having an Extramarital Affair","Liberal Democrats","Male","EU Integration","Oppose EU Integration","Scandal","No Scandal","Party Affiliation","Liberal Democrats","Gender","Male","Oppose EU Integration","Plagiarism","Labour Party","Female"
"266","81.153.144.254",100,6784,TRUE,"2018/6/19 06:26","R_2RRpYDfchFp0yjm",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",362.024,362.716,363.579,3,"Candidate 2",0.708,0.718,1.434,2,"Candidate 1","Scandal","Having an Extramarital Affair","Party Affiliation","Conservative Party","Gender","Male","EU Integration","Oppose EU Integration","Sexual Harassment","Labour Party","Female","Support EU Integration","Scandal","No Scandal","Party Affiliation","Conservative Party","Gender","Female","EU Integration","Neutral","Plagiarism","Liberal Democrats","Female","Neutral"
"267","82.132.227.159",100,21,TRUE,"2018/6/19 06:26","R_2t4YuXXchvT4hH3",NA,NA,NA,NA,51.6000061,-0.066696167,"anonymous","EN",7.154,7.853,8.809,3,"Candidate 2",10.424,10.43,11.455,2,"Candidate 1","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Gender","Female","Plagiarism","Oppose EU Integration","Conservative Party","Female","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Party Affiliation","Conservative Party","Gender","Male","Plagiarism","Oppose EU Integration","Liberal Democrats","Male"
"268","94.197.120.217",100,42,TRUE,"2018/6/19 06:26","R_eyCHf4c6wJHvpIZ",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",12.442,32.417,33.105,3,"Candidate 2",7.289,7.297,8.015,2,"Candidate 1","Scandal","Misreporting Funds","EU Integration","Neutral","Gender","Female","Party Affiliation","Conservative Party","Having an Extramarital Affair","Oppose EU Integration","Male","Liberal Democrats","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Gender","Female","Party Affiliation","Labour Party","Having an Extramarital Affair","Support EU Integration","Male","Conservative Party"
"269","90.219.104.118",100,49,TRUE,"2018/6/19 06:27","R_1KjpffnuM4wIXad",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",37.003,38.602,39.237,3,"Candidate 2",7.836,7.85,8.929,2,"Candidate 2","Gender","Female","Scandal","No Scandal","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Male","Having an Extramarital Affair","Conservative Party","Oppose EU Integration","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Male","Misreporting Funds","Liberal Democrats","Oppose EU Integration"
"270","82.132.228.55",100,18,TRUE,"2018/6/19 06:27","R_3fiRpjIxbfVgLaD",NA,NA,NA,NA,53.38330078,-2.600006104,"anonymous","EN",1.876,12.079,12.147,4,"Candidate 1",5.177,6.985,7.872,5,"Candidate 1","Party Affiliation","Liberal Democrats","Gender","Female","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Conservative Party","Female","Misreporting Funds","Oppose EU Integration","Party Affiliation","Conservative Party","Gender","Female","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Conservative Party","Female","Misreporting Funds","Support EU Integration"
"271","86.14.185.108",100,26,TRUE,"2018/6/19 06:28","R_3soDtqIVsP0J7pU",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",11.429,13.41,15.167,2,"Candidate 2",6.516,9.063,10.521,2,"Candidate 1","Scandal","Misreporting Funds","Party Affiliation","Conservative Party","EU Integration","Oppose EU Integration","Gender","Male","No Scandal","Labour Party","Neutral","Female","Scandal","No Scandal","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Gender","Female","Misreporting Funds","Conservative Party","Neutral","Female"
"272","155.245.29.160",100,17,TRUE,"2018/6/19 06:28","R_2rIvMv8IqzGcW3g",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",9.974,9.974,10.764,1,"Candidate 2",4.731,4.731,5.917,1,"Candidate 2","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Gender","Female","Scandal","Plagiarism","Liberal Democrats","Oppose EU Integration","Male","Plagiarism","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Gender","Male","Scandal","Having an Extramarital Affair","Labour Party","Neutral","Male","No Scandal"
"273","151.230.144.27",100,89,TRUE,"2018/6/19 06:30","R_1DXVy9gCoo0BvXg",NA,NA,NA,NA,51.93649292,1.278305054,"anonymous","EN",1.864,73.749,74.69,8,"Candidate 2",7.923,8.713,12.026,3,"Candidate 2","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Gender","Male","EU Integration","Support EU Integration","Plagiarism","Liberal Democrats","Male","Support EU Integration","Scandal","Sexual Harassment","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Oppose EU Integration","Sexual Harassment","Conservative Party","Male","Neutral"
"274","155.245.62.107",100,26,TRUE,"2018/6/19 06:31","R_31pASPZKZtGbve8",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",12.516,12.516,13.488,1,"Candidate 1",10.081,10.081,11.274,1,"Candidate 1","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Gender","Female","Party Affiliation","Liberal Democrats","Sexual Harassment","Oppose EU Integration","Female","Labour Party","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Gender","Female","Party Affiliation","Labour Party","Having an Extramarital Affair","Neutral","Female","Conservative Party"
"275","86.11.250.124",100,16,TRUE,"2018/6/19 06:34","R_3eb1ejgX0Jpgfv9",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",5.488,5.488,7.272,1,"Candidate 1",6.383,6.383,7.5,1,"Candidate 1","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Gender","Female","Scandal","Plagiarism","Labour Party","Oppose EU Integration","Female","Misreporting Funds","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Gender","Male","Scandal","No Scandal","Liberal Democrats","Oppose EU Integration","Male","No Scandal"
"276","82.132.240.107",100,31,TRUE,"2018/6/19 06:37","R_0p9xGY936iWuHKx",NA,NA,NA,NA,52.58329773,-2.133300781,"anonymous","EN",13.533,13.67,14.699,2,"Candidate 1",6.359,6.384,14.76,2,"Candidate 1","Scandal","Plagiarism","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Gender","Male","Misreporting Funds","Oppose EU Integration","Conservative Party","Female","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Party Affiliation","Liberal Democrats","Gender","Male","Sexual Harassment","Neutral","Labour Party","Male"
"277","165.225.80.131",100,72,TRUE,"2018/6/19 06:37","R_2UhdH87VhY6hod0",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN",18.571,21.843,23.361,2,"Candidate 1",47.186,49.346,50.347,2,"Candidate 1","Scandal","Plagiarism","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Gender","Male","No Scandal","Oppose EU Integration","Conservative Party","Male","Scandal","No Scandal","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Gender","Male","Having an Extramarital Affair","Support EU Integration","Conservative Party","Female"
"278","78.150.209.230",100,16,TRUE,"2018/6/19 06:41","R_2X6yYZl4KIl4mot",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",5.991,5.991,7.88,1,"Candidate 1",6.16,6.16,7.224,1,"Candidate 1","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","Plagiarism","Gender","Female","Labour Party","Support EU Integration","Sexual Harassment","Male","Party Affiliation","Conservative Party","EU Integration","Neutral","Scandal","Misreporting Funds","Gender","Female","Labour Party","Support EU Integration","Plagiarism","Female"
"279","86.151.53.41",100,51,TRUE,"2018/6/19 06:41","R_yV10LiQaGp0PWff",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",26.528,28.743,29.274,3,"Candidate 1",14.42,15.687,17.958,3,"Candidate 2","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","Plagiarism","Gender","Female","Labour Party","Support EU Integration","Sexual Harassment","Male","Party Affiliation","Conservative Party","EU Integration","Neutral","Scandal","Misreporting Funds","Gender","Female","Labour Party","Support EU Integration","Plagiarism","Female"
"280","86.184.24.237",100,14,TRUE,"2018/6/19 06:43","R_2VKOSaSqYAYFL9U",NA,NA,NA,NA,52.07060242,0.761901855,"anonymous","EN",7.518,7.518,8.485,1,"Candidate 1",3.767,3.767,4.823,1,"Candidate 2","Scandal","Plagiarism","Gender","Female","EU Integration","Support EU Integration","Party Affiliation","Liberal Democrats","Plagiarism","Female","Neutral","Labour Party","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Neutral","Party Affiliation","Conservative Party","No Scandal","Male","Neutral","Conservative Party"
"281","2.122.222.204",100,26,TRUE,"2018/6/19 06:46","R_sbpC2k1CVp9JXd7",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",10.671,10.812,11.764,2,"Candidate 1",11.045,11.045,12.228,2,"Candidate 1","Gender","Female","EU Integration","Support EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","Male","Oppose EU Integration","Having an Extramarital Affair","Liberal Democrats","Gender","Female","EU Integration","Oppose EU Integration","Scandal","Misreporting Funds","Party Affiliation","Labour Party","Female","Neutral","Sexual Harassment","Labour Party"
"282","81.106.114.114",100,18,TRUE,"2018/6/19 06:50","R_3JIBLSiYaT12sZz",NA,NA,NA,NA,51.75,-0.333297729,"anonymous","EN",1.293,8.968,9.697,4,"Candidate 1",1.169,6.005,7.434,5,"Candidate 1","Gender","Female","Scandal","Plagiarism","Party Affiliation","Conservative Party","EU Integration","Oppose EU Integration","Female","Misreporting Funds","Liberal Democrats","Support EU Integration","Gender","Female","Scandal","Misreporting Funds","Party Affiliation","Conservative Party","EU Integration","Neutral","Male","Plagiarism","Liberal Democrats","Oppose EU Integration"
"283","92.40.249.241",100,28,TRUE,"2018/6/19 06:51","R_2aIVdZcYppF6DLo",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",15.245,15.274,15.87,2,"Candidate 2",10.339,10.348,11.128,2,"Candidate 1","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Gender","Female","Scandal","Having an Extramarital Affair","Liberal Democrats","Neutral","Male","No Scandal","Party Affiliation","Liberal Democrats","EU Integration","Oppose EU Integration","Gender","Female","Scandal","Misreporting Funds","Conservative Party","Oppose EU Integration","Female","Having an Extramarital Affair"
"284","146.198.242.96",100,14,TRUE,"2018/6/19 06:52","R_12nXMHNLueltXuF",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",3.763,3.953,4.962,2,"Candidate 2",6.802,6.719,8.061,2,"Candidate 2","Party Affiliation","Conservative Party","Gender","Female","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Labour Party","Male","No Scandal","Oppose EU Integration","Party Affiliation","Conservative Party","Gender","Male","Scandal","Plagiarism","EU Integration","Support EU Integration","Conservative Party","Male","No Scandal","Support EU Integration"
"285","155.245.57.90",100,21,TRUE,"2018/6/19 06:54","R_0P37ImUYC5qpt97",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",7.69,7.69,10.521,1,"Candidate 1",6.731,9.184,9.544,2,"Candidate 2","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Neutral","Scandal","Sexual Harassment","Conservative Party","Male","Oppose EU Integration","Sexual Harassment","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Support EU Integration","Scandal","Sexual Harassment","Liberal Democrats","Female","Support EU Integration","Misreporting Funds"
"286","80.189.49.226",100,26,TRUE,"2018/6/19 06:55","R_2aDBk8jqoyjZElP",NA,NA,NA,NA,51.26669312,1.083297729,"anonymous","EN",0.912,6.288,9.902,4,"Candidate 2",2.845,8.794,8.899,4,"Candidate 1","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Gender","Female","Plagiarism","Oppose EU Integration","Labour Party","Female","Scandal","No Scandal","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Gender","Male","Plagiarism","Support EU Integration","Conservative Party","Female"
"287","86.151.53.16",100,22,TRUE,"2018/6/19 06:56","R_3nAEwPTdVpgNtLY",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",12.41,12.41,13.344,1,"Candidate 1",6.652,6.652,7.806,1,"Candidate 2","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Gender","Male","EU Integration","Support EU Integration","Labour Party","Misreporting Funds","Male","Neutral","Party Affiliation","Labour Party","Scandal","Plagiarism","Gender","Female","EU Integration","Support EU Integration","Conservative Party","No Scandal","Male","Oppose EU Integration"
"288","213.205.251.92",100,20,TRUE,"2018/6/19 06:56","R_eVPKzbWzU3aa7jX",NA,NA,NA,NA,51.55000305,0.166702271,"anonymous","EN",4.322,7.79,8.949,5,"Candidate 1",5.935,9.322,10.074,5,"Candidate 2","Scandal","Plagiarism","EU Integration","Neutral","Gender","Female","Party Affiliation","Labour Party","Misreporting Funds","Neutral","Male","Labour Party","Scandal","Having an Extramarital Affair","EU Integration","Neutral","Gender","Male","Party Affiliation","Liberal Democrats","No Scandal","Neutral","Male","Liberal Democrats"
"289","82.17.246.114",100,70,TRUE,"2018/6/19 06:57","R_1et3pnicN31vhDp",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",40.675,48.516,49.956,4,"Candidate 1",5.195,16.166,16.807,3,"Candidate 1","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Oppose EU Integration","Liberal Democrats","Sexual Harassment","Male","Oppose EU Integration","Party Affiliation","Liberal Democrats","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Neutral","Labour Party","Sexual Harassment","Male","Oppose EU Integration"
"290","80.2.20.104",100,19,TRUE,"2018/6/19 06:59","R_1JUszgHBKpcFbUL",NA,NA,NA,NA,51.6302948,0.000504,"anonymous","EN",8.881,11.632,12.197,4,"Candidate 1",4.871,6.548,7.003,4,"Candidate 2","Gender","Male","EU Integration","Oppose EU Integration","Scandal","Misreporting Funds","Party Affiliation","Labour Party","Male","Neutral","Misreporting Funds","Liberal Democrats","Gender","Male","EU Integration","Support EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","Female","Neutral","No Scandal","Labour Party"
"291","31.75.198.168",100,20,TRUE,"2018/6/19 07:02","R_2YxiQUzwCK0sZD5",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",1.795,7.287,9.454,3,"Candidate 1",6.596,7.756,10.08,3,"Candidate 2","Gender","Male","EU Integration","Oppose EU Integration","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Female","Support EU Integration","Conservative Party","No Scandal","Gender","Male","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Scandal","No Scandal","Male","Support EU Integration","Conservative Party","Having an Extramarital Affair"
"292","155.245.59.41",100,33,TRUE,"2018/6/19 07:03","R_zYKhRTbN9qZ1VpD",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",16.598,16.598,18.505,1,"Candidate 1",12.983,12.983,14.265,1,"Candidate 2","Party Affiliation","Liberal Democrats","Gender","Female","EU Integration","Support EU Integration","Scandal","Misreporting Funds","Labour Party","Female","Support EU Integration","Sexual Harassment","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Oppose EU Integration","Scandal","Having an Extramarital Affair","Labour Party","Male","Neutral","Misreporting Funds"
"293","92.40.248.50",100,18,TRUE,"2018/6/19 07:10","R_UQ1pxdHzxTI7Ppv",NA,NA,NA,NA,51.6000061,-0.066696167,"anonymous","EN",7.352,7.938,8.779,3,"Candidate 2",5.601,5.616,8.254,2,"Candidate 1","Gender","Female","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","EU Integration","Support EU Integration","Male","Plagiarism","Liberal Democrats","Oppose EU Integration","Gender","Female","Scandal","No Scandal","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Male","Plagiarism","Conservative Party","Support EU Integration"
"294","5.151.221.253",100,23,TRUE,"2018/6/19 07:10","R_5vUfCkKQOSckk93",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.393,11.657,12.172,3,"Candidate 2",2.439,5.311,5.821,3,"Candidate 2","EU Integration","Oppose EU Integration","Gender","Male","Scandal","No Scandal","Party Affiliation","Labour Party","Support EU Integration","Male","Misreporting Funds","Conservative Party","EU Integration","Oppose EU Integration","Gender","Female","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Support EU Integration","Female","Having an Extramarital Affair","Labour Party"
"295","86.1.184.137",100,49,TRUE,"2018/6/19 07:15","R_TnjiCaFNu2cNbC9",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",8.248,9.129,14.751,3,"Candidate 2",27.072,31.362,32.014,3,"Candidate 2","Party Affiliation","Labour Party","Scandal","Having an Extramarital Affair","Gender","Male","EU Integration","Neutral","Liberal Democrats","No Scandal","Male","Neutral","Party Affiliation","Conservative Party","Scandal","Having an Extramarital Affair","Gender","Female","EU Integration","Oppose EU Integration","Conservative Party","Plagiarism","Male","Oppose EU Integration"
"296","90.255.21.138",100,27,TRUE,"2018/6/19 07:16","R_2V7k9Q6ozzSFlMW",NA,NA,NA,NA,51.5,-0.116699219,"anonymous","EN",12.27,12.27,14.245,1,"Candidate 2",8.194,8.194,9.904,1,"Candidate 1","Scandal","Sexual Harassment","Gender","Female","EU Integration","Neutral","Party Affiliation","Conservative Party","Plagiarism","Female","Support EU Integration","Labour Party","Scandal","No Scandal","Gender","Male","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Misreporting Funds","Male","Support EU Integration","Labour Party"
