,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
232,86.1.185.63,100,58,TRUE,2018/6/19 05:26,R_3hA2ibWNc2xgTfL,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.375,17.233,25.867,6,8.24,16.584,16.644,4,Prime Minister 1,6.335,9.485,10.355,3,Prime Minister 1,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Liberal Democrats,Sexual Harassment,Female,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Male,Minister's Scandal,Misreporting Funds,Support EU Integration,Labour Party,Labour Party,Sexual Harassment,Female,No Scandal
233,82.26.186.122,100,46,TRUE,2018/6/19 05:28,R_2y4uM5sy9PnXG1U,NA,NA,NA,NA,51.35209656,0.533706665,anonymous,EN,0,0,8.401,0,24.58,24.58,28.721,1,Prime Minister 1,4.76,6.096,6.817,2,Prime Minister 2,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Gender,Female,Having an Extramarital Affair,Support EU Integration,Labour Party,Misreporting Funds,Labour Party,Female,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Gender,Female,Plagiarism,Neutral,Conservative Party,Having an Extranarital Affair,Conservative Party,Male
234,155.245.52.75,100,65,TRUE,2018/6/19 05:29,R_3RsZVIqcnglvBhe,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,28.046,0,17.25,18.109,18.795,2,Prime Minister 1,11.289,11.289,12.494,1,Prime Minister 2,Gender,Female,Minister's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Female,Conservative Party,Plagiarism,Oppose EU Integration,Conservative Party,Misreporting Funds,Gender,Male,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Male,Liberal Democrats,Plagiarism,Oppose EU Integration,Conservative Party,Misreporting Funds
236,213.205.251.21,100,47,TRUE,2018/6/19 05:39,R_1kS6T4DnvxBaDDS,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,3.924,10.277,11.373,6,2.25,18.572,20.754,4,Prime Minister 1,1.252,11.195,12.525,4,Prime Minister 2,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Neutral,Sexual Harassment,Conservative Party,Liberal Democrats,Sexual Harassment,Male,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Gender,Male,Neutral,Plagiarism,Conservative Party,Liberal Democrats,No Scandal,Male
237,90.221.94.253,100,60,TRUE,2018/6/19 05:40,R_V25svM94kxXfc0p,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,27.805,32.428,41.809,2,3.05,16.419,21.365,4,Prime Minister 1,3.21,9.803,13.565,4,Prime Minister 1,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Having an Extramarital Affair,Liberal Democrats,Neutral,Female,Sexual Harassment,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,EU Integration,Neutral,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,No Scandal,Conservative Party,Oppose EU Integration,Female,Misreporting Funds,Conservative Party
238,62.172.163.242,100,84,TRUE,2018/6/19 05:41,R_1j7YL3fch42qnhR,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,2.396,0,63.753,63.753,64.651,1,Prime Minister 2,15.293,15.293,16.133,1,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Female,No Scandal,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Gender,Male,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Having an Extramarital Affair,Liberal Democrats,Neutral,Female,Having an Extranarital Affair,Conservative Party
239,88.96.54.126,100,21,TRUE,2018/6/19 05:42,R_3Ok82l1XxuMZbT0,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,3.466,0,5.338,5.338,6.338,1,Prime Minister 2,8.6,8.6,9.565,1,Prime Minister 1,Gender,Female,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Scandal,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Labour Party,Female,Plagiarism,Labour Party,Plagiarism,Oppose EU Integration,Labour Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Female,Plagiarism,Liberal Democrats,Having an Extranarital Affair,Neutral,Conservative Party
240,155.245.59.27,100,52,TRUE,2018/6/19 05:45,R_1LbM89p3JrLtkbY,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,16.268,0,18.226,18.226,23.165,1,Prime Minister 2,9.376,9.376,12.398,1,Prime Minister 1,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,No Scandal,Sexual Harassment,Liberal Democrats,Support EU Integration,Conservative Party,Female,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Sexual Harassment,Plagiarism,Conservative Party,Support EU Integration,Conservative Party,Male
241,86.137.181.112,100,29,TRUE,2018/6/19 05:47,R_1dhp7KZX5OgE55Z,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.699,4.126,5.657,2,10.839,11.924,12.512,3,Prime Minister 2,7.813,8.523,9.924,3,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Misreporting Funds,Conservative Party,Sexual Harassment,Conservative Party,Neutral,Female,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Having an Extramarital Affair,Conservative Party,Sexual Harassment,Liberal Democrats,Neutral,Male
242,155.245.98.61,100,109,TRUE,2018/6/19 05:48,R_2D0R4GSfGWnOgFP,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,22.395,0,28.59,64.026,64.802,3,Prime Minister 2,23.037,23.037,25.009,1,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,Plagiarism,Misreporting Funds,Oppose EU Integration,Conservative Party,Male,Conservative Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Gender,Female,Party Affiliation,Conservative Party,Plagiarism,Plagiarism,Oppose EU Integration,Conservative Party,Female,Conservative Party
243,86.1.188.221,100,73,TRUE,2018/6/19 05:48,R_1rcsw1Y5RBSrh2B,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,8.637,36.43,36.938,5,0.758,22.011,22.396,4,Prime Minister 1,7.835,8.623,9.832,3,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,No Scandal,Oppose EU Integration,Sexual Harassment,Female,Labour Party,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Sexual Harassment,Neutral,Sexual Harassment,Male,Liberal Democrats,Conservative Party
244,155.245.97.161,100,68,TRUE,2018/6/19 05:48,R_1IWcywKlCmzusVi,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,0,0,28.205,0,26.843,26.843,27.619,1,Prime Minister 2,13.244,13.244,14.48,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Gender,Male,EU Integration,Support EU Integration,Conservative Party,Sexual Harassment,No Scandal,Liberal Democrats,Male,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Labour Party,No Scandal,Sexual Harassment,Labour Party,Male,Support EU Integration
245,155.245.62.220,100,55,TRUE,2018/6/19 05:49,R_pflGgdNnuCL2Fnb,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.675,7.675,22.123,1,18.812,18.812,21.364,1,Prime Minister 1,10.564,10.564,11.889,1,Prime Minister 1,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Sexual Harassment,Labour Party,Misreporting Funds,Male,Labour Party,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Sexual Harassment,Liberal Democrats,Sexual Harassment,Male,Conservative Party,Neutral
246,82.132.233.8,100,66,TRUE,2018/6/19 05:49,R_wQPGf5cmG6QcOFb,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,1.424,13.435,15.836,5,5.446,22.912,24.417,5,Prime Minister 2,2.179,18.176,19.173,4,Prime Minister 2,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Male,Conservative Party,Conservative Party,Misreporting Funds,Having an Extramarital Affair,Neutral,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Female,Conservative Party,Liberal Democrats,No Scandal,Having an Extramarital Affair,Oppose EU Integration,Female
247,176.26.250.210,100,68,TRUE,2018/6/19 05:49,R_3NvVECPM16FRTnH,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,21.691,23.227,25.458,9,16.257,18.967,20.111,5,Prime Minister 2,16.724,19.569,20.877,5,Prime Minister 1,Gender,Male,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Female,Liberal Democrats,Sexual Harassment,Conservative Party,Neutral,No Scandal,Gender,Female,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Female,Liberal Democrats,No Scandal,Conservative Party,Support EU Integration,Having an Extranarital Affair
248,155.245.60.141,100,45,TRUE,2018/6/19 05:50,R_2TmENSucz9wPL17,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,26.261,0,6.021,6.021,7.217,1,Prime Minister 1,9.416,9.416,9.978,1,Prime Minister 2,Party Affiliation,Labour Party,Scandal,No Scandal,Gender,Male,Minister's Scandal,No Scandal,Minister's Partisanship,Labour Party,EU Integration,Neutral,Conservative Party,Misreporting Funds,Female,Having an Extramarital Affair,Conservative Party,Neutral,Party Affiliation,Conservative Party,Scandal,Plagiarism,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Conservative Party,Sexual Harassment,Male,Plagiarism,Liberal Democrats,Support EU Integration
249,51.7.83.115,100,30,TRUE,2018/6/19 05:55,R_dn8doyDY4zr1oE9,NA,NA,NA,NA,51.13330078,0.283294678,anonymous,EN,0,0,1.517,0,14.504,14.504,15.853,1,Prime Minister 1,9.757,9.757,10.494,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,Misreporting Funds,Plagiarism,Oppose EU Integration,Conservative Party,Liberal Democrats,Male,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Scandal,Sexual Harassment,Plagiarism,Support EU Integration,Conservative Party,Liberal Democrats,Male,Having an Extranarital Affair
250,193.113.48.9,100,56,TRUE,2018/6/19 05:55,R_RqP7CwTJLb8fYLD,NA,NA,NA,NA,51.56669617,-0.016693115,anonymous,EN,0,0,23.785,0,9.6,9.6,15.266,1,Prime Minister 1,12.261,12.261,13.836,1,Prime Minister 1,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Sexual Harassment,Conservative Party,Female,Oppose EU Integration,Conservative Party,Sexual Harassment,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,No Scandal,Plagiarism,Conservative Party,Female,Neutral,Liberal Democrats,Misreporting Funds
251,2.27.191.252,100,112,TRUE,2018/6/19 05:55,R_DGMxEOpYkTmzGKJ,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,20.359,20.359,29.286,1,8.841,48.713,50.395,3,Prime Minister 1,7.195,29.836,30.982,3,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Male,Scandal,Having an Extranarital Affair,Conservative Party,Misreporting Funds,Liberal Democrats,Oppose EU Integration,Male,No Scandal,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Having an Extranarital Affair,Labour Party,Misreporting Funds,Labour Party,Support EU Integration,Male,Misreporting Funds
252,131.111.84.203,100,47,TRUE,2018/6/19 05:56,R_21cAySOWqdIcT06,NA,NA,NA,NA,52.19999695,0.116699219,anonymous,EN,0,0,21.603,0,10.091,10.091,11.944,1,Prime Minister 1,11.008,11.008,13.242,1,Prime Minister 1,Gender,Male,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Female,Misreporting Funds,Conservative Party,Conservative Party,Neutral,Having an Extramarital Affair,Gender,Male,Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Minister's Scandal,Having an Extramarital Affair,Male,No Scandal,Conservative Party,Liberal Democrats,Oppose EU Integration,No Scandal
254,146.200.33.46,100,33,TRUE,2018/6/19 06:04,R_21ifSeYvMXCtsJI,NA,NA,NA,NA,51.94999695,0.633300781,anonymous,EN,1.241,9.072,9.928,4,2.107,5.269,6.575,3,Prime Minister 2,2.008,6.605,7.807,3,Prime Minister 2,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Misreporting Funds,Plagiarism,Labour Party,Oppose EU Integration,Female,Labour Party,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,No Scandal,Having an Extranarital Affair,Labour Party,Oppose EU Integration,Female,Labour Party
255,155.245.90.104,100,63,TRUE,2018/6/19 06:04,R_2v9cyEKqtmNl11p,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,36.383,0,10.061,10.061,11.388,1,Prime Minister 1,12.811,12.811,14.224,1,Prime Minister 2,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,No Scandal,Support EU Integration,Female,Plagiarism,Liberal Democrats,Conservative Party,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Sexual Harassment,Support EU Integration,Male,Misreporting Funds,Labour Party,Labour Party
256,82.27.112.20,100,158,TRUE,2018/6/19 06:06,R_2Tt826foHvcv1s1,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,101.418,112.007,113.113,3,7.497,16.906,21.357,5,Prime Minister 2,8.538,21.391,22.523,4,Prime Minister 2,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,EU Integration,Neutral,Female,Labour Party,Labour Party,Plagiarism,No Scandal,Neutral,Gender,Male,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Female,Labour Party,Labour Party,Plagiarism,Plagiarism,Support EU Integration
257,155.245.155.242,100,72,TRUE,2018/6/19 06:09,R_2dYmZwwXnp8bdxA,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,3.805,11.752,15.062,3,1.936,30.875,31.573,10,Prime Minister 1,0.885,6.233,20.049,7,Prime Minister 2,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Gender,Female,Neutral,Conservative Party,No Scandal,No Scandal,Conservative Party,Female,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,Gender,Female,Neutral,Conservative Party,Having an Extranarital Affair,Misreporting Funds,Liberal Democrats,Female
258,85.115.54.201,100,84,TRUE,2018/6/19 06:11,R_1LT3MTIwL1aEjX0,NA,NA,NA,NA,51.48910522,-0.110702515,anonymous,EN,0,0,34.513,0,27.954,27.954,29.513,1,Prime Minister 1,12.822,12.822,14.455,1,Prime Minister 1,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Sexual Harassment,Conservative Party,Conservative Party,Female,Oppose EU Integration,Misreporting Funds,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,EU Integration,Support EU Integration,Scandal,No Scandal,Having an Extramarital Affair,Conservative Party,Conservative Party,Female,Neutral,Plagiarism
259,90.200.133.108,100,62,TRUE,2018/6/19 06:15,R_uftMzHjcqN911a9,NA,NA,NA,NA,50.8999939,-1.399993896,anonymous,EN,6.178,17.518,19.915,6,1.739,12.2,15.002,4,Prime Minister 1,1.897,25.006,25.795,4,Prime Minister 2,Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Liberal Democrats,Plagiarism,Male,Conservative Party,Oppose EU Integration,Sexual Harassment,Conservative Party,Scandal,Plagiarism,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Misreporting Funds,Male,Conservative Party,Support EU Integration,Plagiarism,Conservative Party
260,62.255.36.196,100,59,TRUE,2018/6/19 06:16,R_PZ0hJ4DrfRLak3n,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,32.642,0,12.008,12.008,16.737,1,Prime Minister 1,7.264,7.264,9.328,1,Prime Minister 2,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Labour Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Oppose EU Integration,Plagiarism,Male,Conservative Party,Plagiarism,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Neutral,Having an Extranarital Affair,Female,Conservative Party,No Scandal,Conservative Party
261,2.96.125.239,100,56,TRUE,2018/6/19 06:18,R_12il2s15t7whVUs,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,15.72,15.72,17.489,1,11.671,11.671,13.512,1,Prime Minister 1,19.582,22.684,25.552,3,Prime Minister 2,Gender,Female,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Plagiarism,Male,Liberal Democrats,Having an Extranarital Affair,Conservative Party,Oppose EU Integration,Sexual Harassment,Gender,Male,Minister's Partisanship,Labour Party,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Male,Labour Party,No Scandal,Labour Party,Neutral,Sexual Harassment
262,188.223.61.86,100,93,TRUE,2018/6/19 06:19,R_3QFy45sM24F3JD8,NA,NA,NA,NA,51.43330383,-1,anonymous,EN,7.279,33.698,37.784,4,1.038,27.715,37.434,5,Prime Minister 2,1.649,15.88,16.541,5,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Male,Scandal,No Scandal,Party Affiliation,Labour Party,Misreporting Funds,Labour Party,Neutral,Male,No Scandal,Labour Party,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Plagiarism,Labour Party,Neutral,Female,Plagiarism,Labour Party
263,86.11.248.91,100,41,TRUE,2018/6/19 06:24,R_1gOvIJgxcjqYAdF,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.633,4.144,4.652,2,18.611,21.048,21.958,3,Prime Minister 1,3.63,4.129,5.668,3,Prime Minister 1,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,Misreporting Funds,No Scandal,Oppose EU Integration,Conservative Party,Male,Conservative Party,Scandal,Plagiarism,Minister's Scandal,No Scandal,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Plagiarism,Having an Extramarital Affair,Oppose EU Integration,Liberal Democrats,Female,Conservative Party
264,46.183.192.158,100,45,TRUE,2018/6/19 06:26,R_1rCERYtA12Oo5lk,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,9.988,11.611,12.937,2,3.627,22.791,23.754,3,Prime Minister 2,5.21,5.748,6.72,3,Prime Minister 2,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Neutral,Conservative Party,No Scandal,Male,Conservative Party,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Neutral,Liberal Democrats,No Scandal,Male,Conservative Party,Misreporting Funds
265,81.153.144.254,100,18,TRUE,2018/6/19 06:26,R_vf2hcje2aAcoz7z,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.712,3.899,9.356,5,0.65,1.351,2.187,3,Prime Minister 1,0.043,0.741,1.217,3,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Gender,Male,Labour Party,Neutral,Plagiarism,Labour Party,Plagiarism,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Gender,Female,Conservative Party,Neutral,Sexual Harassment,Liberal Democrats,Plagiarism,Male
266,82.132.227.159,100,41,TRUE,2018/6/19 06:27,R_2aE6oNjiO6vsnbz,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,16.446,18.147,19.715,4,7.757,12.198,12.738,4,Prime Minister 1,4.138,4.969,6.987,3,Prime Minister 1,Gender,Male,Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Female,Sexual Harassment,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Gender,Male,Scandal,No Scandal,EU Integration,Neutral,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Female,Misreporting Funds,Oppose EU Integration,Misreporting Funds,Conservative Party,Liberal Democrats
267,94.197.120.217,100,71,TRUE,2018/6/19 06:27,R_3qDuiYLHATmT670,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,15.388,18.588,20.277,3,22.599,29.446,30.799,3,Prime Minister 2,3.816,15.667,16.471,3,Prime Minister 2,Minister's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Labour Party,Female,Labour Party,Neutral,Misreporting Funds,Misreporting Funds,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Scandal,Sexual Harassment,Labour Party,Female,Labour Party,Oppose EU Integration,Misreporting Funds,Sexual Harassment
