,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
227,95.149.130.5,100,47,TRUE,2018/6/19 05:16,R_AMbEUppodKdDQHf,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,7.539,20.645,24.056,6,9.227,10.083,12.391,3,Minister 2,1.32,7.414,8.201,4,Minister 1,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Misreporting Funds,Female,Labour Party,Labour Party,Support EU Integration,Having an Extramarital Affair,Neutral,Scandal,Misreporting Funds,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Female,Labour Party,Labour Party,Support EU Integration,Plagiarism,Neutral
228,213.205.251.30,100,49,TRUE,2018/6/19 05:18,R_oY2ylTlS3egghUd,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,5.568,21.81,23.73,3,1.518,14.251,15.174,6,Minister 2,1.083,5.753,7.766,4,Minister 2,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Gender,Female,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Sexual Harassment,Oppose EU Integration,Male,Conservative Party,Liberal Democrats,Neutral,No Scandal,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Gender,Male,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Having an Extramarital Affair,Oppose EU Integration,Female,Conservative Party,Conservative Party,Neutral,No Scandal
229,82.153.105.239,100,53,TRUE,2018/6/19 05:22,R_1cSMv7NBio3FImS,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,4.573,16.89,19.019,2,16.584,18.935,21.221,2,Minister 1,7.557,13.29,14.567,2,Minister 1,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Neutral,Female,Conservative Party,Oppose EU Integration,Sexual Harassment,Conservative Party,Having an Extramarital Affair,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Neutral,Male,Labour Party,Support EU Integration,Misreporting Funds,Labour Party,Misreporting Funds
230,155.245.43.5,100,65,TRUE,2018/6/19 05:23,R_38Jyy6CrKIaPJWp,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,19.725,0,10.751,10.751,11.462,1,Minister 2,30.274,34.214,34.689,3,Minister 1,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Plagiarism,Conservative Party,Neutral,Plagiarism,Neutral,Liberal Democrats,Gender,Male,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Male,No Scandal,Conservative Party,Support EU Integration,Plagiarism,Support EU Integration,Conservative Party
231,86.1.185.63,100,50,TRUE,2018/6/19 05:28,R_DugGmH6jLpIWZqh,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.894,7.82,7.884,4,6.208,8.922,9.903,4,Minister 1,3.507,16.417,17.169,5,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Scandal,Plagiarism,Oppose EU Integration,Liberal Democrats,Conservative Party,Female,Sexual Harassment,Neutral,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Oppose EU Integration,Labour Party,Labour Party,Male,Plagiarism,Support EU Integration,Sexual Harassment
232,82.26.186.122,100,19,TRUE,2018/6/19 05:29,R_1KlII1oSVCl5b9N,NA,NA,NA,NA,51.35209656,0.533706665,anonymous,EN,0,0,4.476,0,1.157,1.157,3.226,1,Minister 1,1.963,8.685,10.461,3,Minister 1,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Neutral,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Liberal Democrats,Female,Neutral,Sexual Harassment,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Liberal Democrats,Male,Neutral,Having an Extramarital Affair,No Scandal,Oppose EU Integration,Conservative Party
233,155.245.52.75,100,66,TRUE,2018/6/19 05:31,R_2SxKJTIlE6KQtfB,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,21.851,0,27.519,27.519,28.392,1,Minister 1,12.648,12.648,13.629,1,Minister 1,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Oppose EU Integration,Conservative Party,Male,Misreporting Funds,Neutral,Conservative Party,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Oppose EU Integration,Liberal Democrats,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,No Scandal
234,213.205.251.21,100,73,TRUE,2018/6/19 05:41,R_11iNNsZaxBuuxfG,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,4.776,11.794,12.596,8,1.898,27.547,28.524,12,Minister 2,3.173,21.577,21.647,6,Minister 1,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Male,Neutral,Conservative Party,Oppose EU Integration,Conservative Party,Misreporting Funds,No Scandal,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Male,Support EU Integration,Liberal Democrats,Oppose EU Integration,Conservative Party,Plagiarism,Having an Extramarital Affair
235,62.172.163.242,100,13,TRUE,2018/6/19 05:42,R_W3yY1YATN9qfL3z,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,2.567,0,2.962,2.962,3.898,1,Minister 2,4.74,4.74,5.314,1,Minister 2,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,Gender,Female,EU Integration,Neutral,Liberal Democrats,No Scandal,Conservative Party,No Scandal,Oppose EU Integration,Male,Neutral,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,EU Integration,Support EU Integration,Labour Party,Misreporting Funds,Labour Party,Misreporting Funds,Oppose EU Integration,Female,Oppose EU Integration
237,88.96.54.126,100,17,TRUE,2018/6/19 05:43,R_1hQrCR5d4UXRnMP,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,1.944,0,5.96,5.96,7.047,1,Minister 2,5.56,5.56,6.277,1,Minister 1,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Scandal,Having an Extramarital Affair,Labour Party,Labour Party,Female,Neutral,Neutral,No Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Scandal,Misreporting Funds,Labour Party,Labour Party,Male,Support EU Integration,Neutral,Misreporting Funds,Having an Extramarital Affair
238,90.221.94.253,100,67,TRUE,2018/6/19 05:43,R_3oYBcVf4GIEt7n5,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,5.675,16.014,17.459,3,1.118,19.237,19.946,5,Minister 2,2.295,20.546,28.301,7,Minister 2,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Sexual Harassment,Male,Labour Party,Neutral,Labour Party,No Scandal,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,EU Integration,Neutral,Plagiarism,Female,Conservative Party,Oppose EU Integration,Conservative Party,No Scandal,Support EU Integration
239,155.245.59.27,100,53,TRUE,2018/6/19 05:47,R_1lhgsp7vDTt7IMA,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,24.939,0,15.622,15.622,17.241,1,Minister 1,10.133,10.133,11.633,1,Minister 1,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,No Scandal,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Labour Party,Oppose EU Integration,Conservative Party,Misreporting Funds,Sexual Harassment,Support EU Integration,Male,Conservative Party,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Gender,Male,PM's Partisanship,Labour Party,Neutral,Conservative Party,Sexual Harassment,Sexual Harassment,Oppose EU Integration,Male,Conservative Party
240,86.137.181.112,100,33,TRUE,2018/6/19 05:48,R_1FErPIEANwpWuzU,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.945,1.945,7.845,1,14.345,15.019,15.838,3,Minister 1,6.552,7.633,8.453,3,Minister 2,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,No Scandal,Oppose EU Integration,No Scandal,Labour Party,Labour Party,Support EU Integration,Female,Sexual Harassment,EU Integration,Neutral,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Gender,Male,Scandal,Plagiarism,Support EU Integration,Having an Extramarital Affair,Conservative Party,Conservative Party,Oppose EU Integration,Male,Plagiarism
241,86.1.188.221,100,82,TRUE,2018/6/19 05:50,R_Ua85xQZglfMclFv,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,5.056,36.301,36.7,6,1.082,20.03,20.381,5,Minister 2,19.243,20.968,21.345,4,Minister 2,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Male,Oppose EU Integration,Plagiarism,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Conservative Party,Female,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Female,Support EU Integration,No Scandal,No Scandal,Support EU Integration,Labour Party,Labour Party,Male
242,155.245.62.220,100,45,TRUE,2018/6/19 05:51,R_1Eh7DqA9LjrzYbN,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,16.809,16.809,17.865,1,5.994,5.994,15.974,1,Minister 1,10.425,10.425,11.255,1,Minister 2,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,No Scandal,Support EU Integration,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Misreporting Funds,Support EU Integration,Male
243,155.245.98.61,100,103,TRUE,2018/6/19 05:51,R_1r1aTlqSA49rFuY,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,82.842,0,13.623,13.623,15.092,1,Minister 2,6.118,6.118,8.049,1,Minister 1,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,Liberal Democrats,Support EU Integration,No Scandal,Conservative Party,Oppose EU Integration,Female,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Sexual Harassment,Labour Party,Support EU Integration,Plagiarism,Labour Party,Oppose EU Integration,Female,Sexual Harassment
244,82.132.233.8,100,55,TRUE,2018/6/19 05:52,R_33D5spOhTxJpqAk,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,2.428,10.963,13.477,4,3.603,7.338,8.573,3,Minister 2,5.305,22.983,23.982,4,Minister 1,PM's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Plagiarism,Male,Plagiarism,Conservative Party,Neutral,Neutral,Liberal Democrats,PM's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,No Scandal,Male,Plagiarism,Labour Party,Support EU Integration,Support EU Integration,Labour Party
245,176.26.250.210,100,65,TRUE,2018/6/19 05:52,R_3iUX4efXGxdHc8d,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,9.717,11.194,12.855,9,20.276,25.583,27.284,5,Minister 1,10.645,16.281,22.791,4,Minister 2,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Liberal Democrats,Oppose EU Integration,No Scandal,Female,No Scandal,Conservative Party,Oppose EU Integration,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Male,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Liberal Democrats,Neutral,Having an Extramarital Affair,Female,Misreporting Funds,Conservative Party,Neutral
246,155.245.60.141,100,93,TRUE,2018/6/19 05:52,R_3D1sg9JNGS2ntMA,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,25.98,0,57.642,57.642,58.174,1,Minister 2,8.025,8.025,8.442,1,Minister 2,PM's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Plagiarism,Male,Plagiarism,Conservative Party,Neutral,Neutral,Liberal Democrats,PM's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,No Scandal,Male,Plagiarism,Labour Party,Support EU Integration,Support EU Integration,Labour Party
247,155.245.97.161,100,177,TRUE,2018/6/19 05:54,R_2OHc2GxTTchgexg,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,67.893,67.893,122.401,1,41.121,41.121,42.109,1,Minister 1,18.717,18.717,19.755,1,Minister 2,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,Oppose EU Integration,Misreporting Funds,Conservative Party,Oppose EU Integration,Conservative Party,Male,Misreporting Funds,EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Gender,Male,Scandal,Misreporting Funds,Neutral,Plagiarism,Conservative Party,Oppose EU Integration,Conservative Party,Female,No Scandal
248,51.7.83.115,100,37,TRUE,2018/6/19 05:57,R_AC1wZQC17hd6t4R,NA,NA,NA,NA,51.13330078,0.283294678,anonymous,EN,1.354,1.354,7.038,1,9.706,13.372,14.439,3,Minister 1,10.885,13.009,13.56,5,Minister 2,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,No Scandal,Support EU Integration,Liberal Democrats,Male,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Plagiarism,Support EU Integration,Conservative Party,Sexual Harassment,Neutral,Conservative Party,Female
249,193.113.48.9,100,60,TRUE,2018/6/19 05:57,R_1ItJAz6MSEz4msw,NA,NA,NA,NA,51.56669617,-0.016693115,anonymous,EN,0,0,11.317,0,11.485,11.485,14.668,1,Minister 2,30.522,30.522,33.43,1,Minister 1,EU Integration,Oppose EU Integration,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Oppose EU Integration,Male,Oppose EU Integration,Labour Party,Labour Party,No Scandal,No Scandal,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Neutral,Male,Oppose EU Integration,Liberal Democrats,Conservative Party,Misreporting Funds,Sexual Harassment
250,131.111.84.203,100,34,TRUE,2018/6/19 05:58,R_PXSrtsPD6lI9eX7,NA,NA,NA,NA,52.19999695,0.116699219,anonymous,EN,0,0,15.009,0,7.37,8.53,10.458,2,Minister 2,6.679,6.679,7.602,1,Minister 1,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Neutral,Support EU Integration,Having an Extramarital Affair,Male,Liberal Democrats,Conservative Party,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Support EU Integration,Sexual Harassment,Female,Conservative Party,Conservative Party,Sexual Harassment
251,2.27.191.252,100,84,TRUE,2018/6/19 05:58,R_2dAqdMhRJGcD6T3,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,11.737,11.737,13.438,1,9.072,40.285,42.235,2,Minister 2,5.071,23.014,25.502,2,Minister 1,Scandal,Sexual Harassment,PM's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Sexual Harassment,No Scandal,Female,Conservative Party,Conservative Party,Oppose EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Scandal,Plagiarism,Gender,Female,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Sexual Harassment,Sexual Harassment,Male,Labour Party,Labour Party,Neutral,Oppose EU Integration
253,146.200.33.46,100,21,TRUE,2018/6/19 06:05,R_2So9zlelFhIvC89,NA,NA,NA,NA,51.94999695,0.633300781,anonymous,EN,0.836,3.168,5.855,4,0.202,2.448,3.335,4,Minister 2,0.528,2.304,3.537,3,Minister 1,EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Gender,Male,Party Affiliation,Liberal Democrats,Support EU Integration,No Scandal,Conservative Party,No Scandal,Oppose EU Integration,Female,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Support EU Integration,Misreporting Funds,Labour Party,No Scandal,Oppose EU Integration,Female,Labour Party
254,155.245.90.104,100,59,TRUE,2018/6/19 06:06,R_3O9phyg6CKWjAoz,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,26.173,0,18.106,18.106,19.697,1,Minister 2,11.764,11.764,13.063,1,Minister 1,PM's Partisanship,Labour Party,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Conservative Party,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Having an Extramarital Affair,Male,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Neutral,Labour Party,Support EU Integration,Having an Extramarital Affair,Labour Party,No Scandal,Male,Neutral
255,82.27.112.20,100,135,TRUE,2018/6/19 06:10,R_3hApXX1ZFuyoBy3,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,10.758,17.856,34.867,3,7.707,68.726,69.611,9,Minister 2,3.403,20.913,27.222,5,Minister 1,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Gender,Female,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Labour Party,Labour Party,Support EU Integration,Male,Plagiarism,No Scandal,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Scandal,Having an Extramarital Affair,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Conservative Party,Liberal Democrats,Oppose EU Integration,Male,Plagiarism,Plagiarism,Oppose EU Integration
256,155.245.155.242,100,73,TRUE,2018/6/19 06:11,R_u4zDgR6GLCyxYT7,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,4.01,44.892,47.027,8,1.94,12.568,13.201,5,Minister 1,1.474,11.007,11.643,5,Minister 2,EU Integration,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Support EU Integration,Female,Sexual Harassment,Support EU Integration,Conservative Party,Having an Extramarital Affair,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Support EU Integration,Male,Plagiarism,Oppose EU Integration,Conservative Party,Misreporting Funds,Liberal Democrats
257,85.115.54.201,100,41,TRUE,2018/6/19 06:13,R_25G992S5awERxUt,NA,NA,NA,NA,51.48910522,-0.110702515,anonymous,EN,0,0,12.635,0,11.501,11.501,12.914,1,Minister 2,14.344,14.344,15.67,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Oppose EU Integration,Male,Conservative Party,Sexual Harassment,Liberal Democrats,PM's Position in EU Integration,Neutral,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Support EU Integration,Misreporting Funds,Support EU Integration,Male,Conservative Party,Misreporting Funds,Liberal Democrats
258,62.255.36.196,100,55,TRUE,2018/6/19 06:18,R_2xxRqTUd2SbUZC4,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,16.003,0,27.056,27.056,30.218,1,Minister 2,4.744,4.744,7.298,1,Minister 1,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Having an Extramarital Affair,Liberal Democrats,Male,Having an Extramarital Affair,Oppose EU Integration,Oppose EU Integration,Conservative Party,Scandal,Plagiarism,Party Affiliation,Labour Party,Gender,Female,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Misreporting Funds,Liberal Democrats,Male,Sexual Harassment,Oppose EU Integration,Support EU Integration,Conservative Party
