,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q2,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
227,213.205.251.30,100,26,TRUE,2018/6/19 05:18,R_wRl5BYrrOc8xSHD,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,1.279,8.877,9.553,7,Minister 2,1.601,13.978,14.664,7,Minister 2,PM's Partisanship,Labour Party,Gender,Female,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Conservative Party,Male,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Neutral,No Scandal,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Conservative Party,Male,No Scandal,Oppose EU Integration,Conservative Party,Oppose EU Integration,No Scandal
228,82.153.105.239,100,28,TRUE,2018/6/19 05:23,R_2WutAGcQQ9Qkbpm,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,4.193,6.353,7.983,2,Minister 1,11.089,18.01,19.656,3,Minister 1,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,No Scandal,Gender,Male,Neutral,Misreporting Funds,Neutral,Conservative Party,Conservative Party,No Scandal,Male,EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,No Scandal,Gender,Male,Oppose EU Integration,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Conservative Party,No Scandal,Male
229,155.245.43.5,100,35,TRUE,2018/6/19 05:23,R_3lKVzyCW7rCWUef,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,11.363,11.363,12.138,1,Minister 2,18.178,18.178,18.959,1,Minister 2,PM's Scandal,Plagiarism,Gender,Male,Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Female,Sexual Harassment,Neutral,Conservative Party,Conservative Party,Support EU Integration,PM's Scandal,Sexual Harassment,Gender,Male,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Sexual Harassment,Male,Plagiarism,Oppose EU Integration,Labour Party,Labour Party,Neutral
230,86.1.185.63,100,59,TRUE,2018/6/19 05:29,R_2fvX98rayPHPQ7u,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.644,14.045,14.909,3,Minister 1,29.307,41.251,43.52,5,Minister 2,PM's Position in EU Integration,Neutral,Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Oppose EU Integration,Plagiarism,Female,Neutral,No Scandal,Labour Party,Labour Party,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,Gender,Female,EU Integration,Neutral,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Support EU Integration,Misreporting Funds,Male,Neutral,No Scandal,Conservative Party,Liberal Democrats
231,82.26.186.122,100,16,TRUE,2018/6/19 05:29,R_2R54ZKz1EvVvMtR,NA,NA,NA,NA,51.35209656,0.533706665,anonymous,EN,8.601,8.601,10.197,1,Minister 2,3.8,3.8,5.306,1,Minister 2,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,No Scandal,Neutral,Conservative Party,Female,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,No Scandal,Neutral,Conservative Party,Plagiarism,Support EU Integration,Liberal Democrats,Male,Plagiarism
232,155.245.52.75,100,35,TRUE,2018/6/19 05:32,R_Rnb7pvH1y2NZQYx,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,9.799,9.799,12.708,1,Minister 1,16.708,16.708,17.496,1,Minister 2,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Plagiarism,Neutral,Female,Labour Party,Labour Party,Sexual Harassment,Support EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Support EU Integration,Male,Conservative Party,Liberal Democrats,No Scandal,Oppose EU Integration
233,213.205.251.21,100,24,TRUE,2018/6/19 05:42,R_1d772LXqh9NzSnA,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,0.928,9.371,10.199,5,Minister 1,1.681,10.295,11.216,5,Minister 2,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Gender,Male,Labour Party,Labour Party,Support EU Integration,Plagiarism,Oppose EU Integration,Sexual Harassment,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Gender,Female,Conservative Party,Conservative Party,Support EU Integration,Misreporting Funds,Oppose EU Integration,Plagiarism,Female
234,62.172.163.242,100,23,TRUE,2018/6/19 05:43,R_W9bvr6NPTVedbUd,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.769,5.021,5.845,2,Minister 1,15.16,15.16,16.116,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Conservative Party,Support EU Integration,Plagiarism,Male,Conservative Party,Misreporting Funds,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Gender,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,EU Integration,Neutral,Conservative Party,Support EU Integration,No Scandal,Female,Conservative Party,Sexual Harassment,Support EU Integration
235,88.96.54.126,100,20,TRUE,2018/6/19 05:43,R_1o5SubHdUuJ3xok,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.358,7.358,8.057,1,Minister 2,10.493,10.493,11.405,1,Minister 2,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Male,Support EU Integration,Misreporting Funds,Plagiarism,Labour Party,Labour Party,Support EU Integration,Male,EU Integration,Neutral,Scandal,Sexual Harassment,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Neutral,Sexual Harassment,Misreporting Funds,Liberal Democrats,Conservative Party,Neutral,Female
237,90.221.94.253,100,43,TRUE,2018/6/19 05:44,R_1IEnnTyLomGUH5I,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,2.311,25.065,25.963,6,Minister 2,2.605,14,16.16,5,Minister 2,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Male,No Scandal,Neutral,Neutral,Labour Party,Labour Party,Sexual Harassment,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Male,No Scandal,Oppose EU Integration,Oppose EU Integration,Conservative Party,Conservative Party,Sexual Harassment
238,155.245.59.27,100,24,TRUE,2018/6/19 05:48,R_3CTxWmPeU2fK81O,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,11.555,11.555,12.946,1,Minister 1,10.451,10.451,11.748,1,Minister 1,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Plagiarism,PM's Scandal,No Scandal,Liberal Democrats,Female,Neutral,Conservative Party,Neutral,Plagiarism,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Female,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Scandal,Having an Extramarital Affair,Liberal Democrats,Female,Oppose EU Integration,Conservative Party,Support EU Integration,Sexual Harassment,Sexual Harassment
239,86.137.181.112,100,25,TRUE,2018/6/19 05:49,R_2dX7di9kW8dm1Ns,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.361,9.036,9.862,3,Minister 1,11.458,14.251,15.013,3,Minister 2,PM's Scandal,Having an Extramarital Affair,Gender,Female,Scandal,No Scandal,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Having an Extramarital Affair,Female,Sexual Harassment,Oppose EU Integration,Neutral,Liberal Democrats,Conservative Party,PM's Scandal,Having an Extramarital Affair,Gender,Female,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Sexual Harassment,Male,No Scandal,Oppose EU Integration,Oppose EU Integration,Conservative Party,Conservative Party
240,86.1.188.221,100,20,TRUE,2018/6/19 05:50,R_1jTgRvnJNmSd4z3,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.052,11.765,12.452,4,Minister 2,1.119,6.727,7.086,5,Minister 1,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Conservative Party,Conservative Party,Having an Extramarital Affair,No Scandal,Support EU Integration,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Liberal Democrats,Conservative Party,Plagiarism,Misreporting Funds,Support EU Integration,Male
241,155.245.62.220,100,49,TRUE,2018/6/19 05:51,R_1fdRStnmV9FZnjq,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,11.209,11.209,17.733,1,Minister 1,30.734,30.734,31.525,1,Minister 1,Gender,Female,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Male,Plagiarism,Labour Party,Oppose EU Integration,Labour Party,Misreporting Funds,Oppose EU Integration,Gender,Male,PM's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Male,Misreporting Funds,Labour Party,Oppose EU Integration,Labour Party,Sexual Harassment,Support EU Integration
242,155.245.98.61,100,27,TRUE,2018/6/19 05:51,R_UrNAq3Hk1ecJ5D3,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,8.801,8.801,9.929,1,Minister 1,17.035,17.035,18.138,1,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,Conservative Party,Sexual Harassment,Male,Conservative Party,Support EU Integration,Support EU Integration,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Gender,Male,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Conservative Party,Plagiarism,Male,Conservative Party,Oppose EU Integration,Neutral,Misreporting Funds
243,82.132.233.8,100,17,TRUE,2018/6/19 05:52,R_08SnYr2WaR8onPb,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,3.35,6.588,7.764,4,Minister 1,4.179,5.405,6.272,3,Minister 1,PM's Scandal,No Scandal,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Sexual Harassment,Female,Labour Party,Sexual Harassment,Labour Party,Support EU Integration,Neutral,PM's Scandal,Sexual Harassment,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,No Scandal,Male,Labour Party,Sexual Harassment,Labour Party,Oppose EU Integration,Neutral
244,176.26.250.210,100,29,TRUE,2018/6/19 05:52,R_3PG3lLnNd4euy5I,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,6.74,9.8,10.995,7,Minister 2,10.288,13.832,15.507,6,Minister 2,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,No Scandal,Neutral,Male,Conservative Party,Oppose EU Integration,Conservative Party,No Scandal,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,No Scandal,Support EU Integration,Female,Labour Party,Neutral,Labour Party,Plagiarism
245,155.245.60.141,100,38,TRUE,2018/6/19 05:53,R_1DZKuCOtMO1QyPk,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,29.622,29.622,30.24,1,Minister 1,6.475,6.992,7.329,2,Minister 1,Scandal,Misreporting Funds,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,No Scandal,Having an Extramarital Affair,Support EU Integration,Conservative Party,Neutral,Male,Conservative Party,Scandal,No Scandal,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,No Scandal,Plagiarism,Support EU Integration,Liberal Democrats,Oppose EU Integration,Male,Conservative Party
246,155.245.97.161,100,70,TRUE,2018/6/19 05:55,R_3sogaDwELBx9Ced,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,41.363,41.363,42.212,1,Minister 2,28.016,28.016,28.921,1,Minister 1,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Gender,Female,Liberal Democrats,Conservative Party,Support EU Integration,Sexual Harassment,Neutral,No Scandal,Male,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Gender,Female,Conservative Party,Conservative Party,Support EU Integration,Sexual Harassment,Neutral,Having an Extramarital Affair,Female
247,51.7.83.115,100,64,TRUE,2018/6/19 05:58,R_806VgS8Q8kIHF3r,NA,NA,NA,NA,51.13330078,0.283294678,anonymous,EN,5.902,36.334,36.771,4,Minister 2,15.512,25.97,26.818,5,Minister 2,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Scandal,Sexual Harassment,EU Integration,Neutral,Conservative Party,Liberal Democrats,Male,Support EU Integration,No Scandal,Misreporting Funds,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Labour Party,Labour Party,Male,Oppose EU Integration,Plagiarism,Sexual Harassment,Neutral
248,193.113.48.9,100,48,TRUE,2018/6/19 05:58,R_33d6AIuSOVwoRWd,NA,NA,NA,NA,51.56669617,-0.016693115,anonymous,EN,22.639,22.639,24.833,1,Minister 1,21.36,21.36,22.439,1,Minister 2,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Having an Extramarital Affair,Labour Party,Misreporting Funds,Labour Party,Female,Support EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,No Scandal,Labour Party,Misreporting Funds,Labour Party,Male,Support EU Integration,Oppose EU Integration
249,131.111.84.203,100,19,TRUE,2018/6/19 05:58,R_2BxF0cgusbhYupL,NA,NA,NA,NA,52.19999695,0.116699219,anonymous,EN,6.401,6.401,7.34,1,Minister 2,10.03,10.03,11.128,1,Minister 2,PM's Position in EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Labour Party,EU Integration,Neutral,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Scandal,Plagiarism,Support EU Integration,Female,Liberal Democrats,Oppose EU Integration,No Scandal,Conservative Party,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Neutral,Female,Conservative Party,Support EU Integration,Misreporting Funds,Conservative Party,Misreporting Funds
250,2.27.191.252,100,73,TRUE,2018/6/19 05:59,R_Aao0zkqO1x9jeNP,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.219,49.04,50.965,2,Minister 1,6.588,18.361,20.14,2,Minister 2,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Misreporting Funds,Conservative Party,Support EU Integration,Misreporting Funds,Oppose EU Integration,Conservative Party,Female,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Having an Extramarital Affair,Conservative Party,Oppose EU Integration,Misreporting Funds,Oppose EU Integration,Conservative Party,Male
252,146.200.33.46,100,11,TRUE,2018/6/19 06:05,R_3HubX5n0dl1XdUz,NA,NA,NA,NA,51.94999695,0.633300781,anonymous,EN,0.918,5.392,6.339,4,Minister 1,1.256,2.572,3.47,3,Minister 1,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Scandal,No Scandal,Scandal,Having an Extramarital Affair,Oppose EU Integration,Male,Conservative Party,Conservative Party,Oppose EU Integration,Having an Extramarital Affair,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Scandal,No Scandal,Neutral,Female,Conservative Party,Conservative Party,Support EU Integration,Sexual Harassment,Misreporting Funds
253,155.245.90.104,100,36,TRUE,2018/6/19 06:07,R_eLLgNLW3R3nVfBD,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,22.806,22.806,23.954,1,Minister 1,9.994,9.994,11.58,1,Minister 1,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Plagiarism,Male,Oppose EU Integration,Support EU Integration,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,No Scandal,Gender,Female,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Scandal,No Scandal,Labour Party,Labour Party,No Scandal,Male,Neutral,Neutral,No Scandal
254,155.245.155.242,100,32,TRUE,2018/6/19 06:12,R_3fMIYQsNupheFul,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,1.732,19.166,20.529,5,Minister 2,0.892,9.85,11.072,6,Minister 2,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,PM's Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Support EU Integration,No Scandal,No Scandal,Liberal Democrats,Female,Conservative Party,Oppose EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Neutral,Plagiarism,Plagiarism,Labour Party,Male,Labour Party,Oppose EU Integration
255,82.27.112.20,100,112,TRUE,2018/6/19 06:12,R_1g6h3KxVQ1uONgV,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.293,48.134,49.499,9,Minister 2,2.969,54.316,61.146,10,Minister 2,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Oppose EU Integration,Conservative Party,Neutral,Misreporting Funds,Liberal Democrats,Plagiarism,Gender,Female,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Neutral,Labour Party,Oppose EU Integration,Having an Extramarital Affair,Labour Party,Misreporting Funds
256,85.115.54.201,100,39,TRUE,2018/6/19 06:13,R_3irlgNaBYdx5LLj,NA,NA,NA,NA,51.48910522,-0.110702515,anonymous,EN,24.398,24.398,25.839,1,Minister 2,9.398,9.398,10.774,1,Minister 2,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Scandal,Plagiarism,Gender,Male,PM's Partisanship,Labour Party,EU Integration,Neutral,Oppose EU Integration,Conservative Party,Plagiarism,Plagiarism,Male,Conservative Party,Support EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Neutral,Neutral,Labour Party,Having an Extramarital Affair,No Scandal,Male,Labour Party,Neutral
257,62.255.36.196,100,23,TRUE,2018/6/19 06:19,R_21sL9Nr2YnMwlo7,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,8.74,9.944,10.515,2,Minister 1,10.124,10.124,11.624,1,Minister 2,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Conservative Party,Support EU Integration,Having an Extramarital Affair,Conservative Party,Female,No Scandal,Support EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Female,Scandal,No Scandal,EU Integration,Neutral,Labour Party,Support EU Integration,Having an Extramarital Affair,Labour Party,Female,No Scandal,Oppose EU Integration
258,90.200.133.108,100,35,TRUE,2018/6/19 06:19,R_AiypSL8FYYhli6Z,NA,NA,NA,NA,50.8999939,-1.399993896,anonymous,EN,1.675,14.875,16.226,4,Minister 1,1.994,16.781,17.447,4,Minister 2,Gender,Male,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Female,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Sexual Harassment,Oppose EU Integration,Labour Party,Gender,Male,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Female,No Scandal,Neutral,Liberal Democrats,Having an Extramarital Affair,Oppose EU Integration,Conservative Party
259,2.96.125.239,100,48,TRUE,2018/6/19 06:21,R_3M98KfkOm4eU7cn,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,25.656,25.656,27.342,1,Minister 2,19.422,19.422,21.15,1,Minister 1,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Scandal,Having an Extramarital Affair,Gender,Female,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Support EU Integration,Sexual Harassment,Misreporting Funds,Female,Support EU Integration,Labour Party,Labour Party,EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Support EU Integration,Having an Extramarital Affair,Having an Extramarital Affair,Female,Oppose EU Integration,Labour Party,Labour Party
260,188.223.61.86,100,60,TRUE,2018/6/19 06:25,R_27CILx4PPdCgFud,NA,NA,NA,NA,51.43330383,-1,anonymous,EN,3.396,24.252,25.992,4,Minister 2,2.09,32.735,34.384,7,Minister 1,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Scandal,No Scandal,PM's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Plagiarism,Neutral,No Scandal,Conservative Party,Female,Liberal Democrats,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,EU Integration,Neutral,No Scandal,Support EU Integration,Misreporting Funds,Labour Party,Female,Labour Party,Oppose EU Integration
